CommonName,Species,Treatment_temp,Phase,Chamber,SpeciesID,Treatment_water,PorometerSubset,BasalDia_mm,Height_mm,Whorls,Biomass_g,ScientificName,Week,Weight_g,Porometer,PercentBrown,Dead,Dead_Count,Heatwave_graph,Heatwave,SerialNumber,CalNum,DateTime,Date,Time,Conductance,Temperature_C,LeafSensor_PercentRH,FilterSensor_PercentRH,Porometer_Est,Stress_Level,Stress_Week,Stress_Week_Avg_Porometer,SD_Porometer
Douglas fir,PSME,Ambient,1,2,PSME28,Watered,yes,7.44,467,5,10.03,Pseudotsuga menziesii,11,755,102.1,10,alive,0,Douglas fir,no,LPS3038,2002001,11/18/2021 11:36,11/18/2021,1136,102.1,22.1,25.3,11.2,102.1,maybe,16,NA,28.12329995
Douglas fir,PSME,Ambient,1,2,PSME28,Watered,yes,7.44,467,5,10.03,Pseudotsuga menziesii,12,692,144.8,10,alive,0,Douglas fir,no,LPS3038,2002000,11/23/2021 12:25,11/23/2021,1225,144.8,21.5,30.9,13.6,144.8,maybe,16,NA,4.807286137
Douglas fir,PSME,Ambient,1,2,PSME28,Watered,yes,7.44,467,5,10.03,Pseudotsuga menziesii,13,759,79.9,10,alive,0,Douglas fir,no,LPS3038,2102100,12/2/2021 9:27,12/2/2021,927,79.9,22,21.7,9.1,79.9,maybe,16,NA,39.39014259
Douglas fir,PSME,Ambient,1,2,PSME28,Watered,yes,7.44,467,5,10.03,Pseudotsuga menziesii,14,703,119.4,10,alive,0,Douglas fir,no,LPS3038,2002001,12/9/2021 11:28,12/9/2021,1128,119.4,19.6,27.2,11.6,119.4,maybe,16,NA,42.55384824
Douglas fir,PSME,Ambient,1,2,PSME28,Watered,yes,7.44,467,5,10.03,Pseudotsuga menziesii,15,725,112.9,10,alive,0,Douglas fir,no,LPS3038,1802001,12/16/2021 12:19,12/16/2021,1219,112.9,18.3,29.4,14.5,112.9,maybe,16,NA,48.78876237
Douglas fir,PSME,Ambient,1,2,PSME28,Watered,yes,7.44,467,5,10.03,Pseudotsuga menziesii,16,NA,67.7,NA,alive,0,Douglas fir,no,LPS3038,2102002,12/23/2021 12:02,12/23/2021,1202,67.7,21.5,18.3,7.4,67.7,yes,16,NA,21.10931864
Douglas fir,PSME,Ambient,1,2,PSME28,Watered,yes,7.44,467,5,10.03,Pseudotsuga menziesii,17,765,NA,10,alive,0,Douglas fir,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,16,NA,NA
Douglas fir,PSME,Ambient,1,2,PSME28,Watered,yes,7.44,467,5,10.03,Pseudotsuga menziesii,18,711,NA,10,alive,0,Douglas fir,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,16,NA,NA
Douglas fir,PSME,Ambient,1,2,PSME28,Watered,yes,7.44,467,5,10.03,Pseudotsuga menziesii,19,752,42.8,10,alive,0,Douglas fir,no,LPS2668,1903801,1/14/2022 9:25,1/14/2022,925,42.8,19.8,23.2,10.9,42.8,yes,16,NA,18.50522449
Douglas fir,PSME,Ambient,1,2,PSME28,Watered,yes,7.44,467,5,10.03,Pseudotsuga menziesii,20,667,64.1,10,alive,0,Douglas fir,no,LPS3038,1902300,1/20/2022 9:40,1/20/2022,940,64.1,20.3,20.4,8.6,64.1,yes,16,NA,49.33622739
Douglas fir,PSME,Ambient,1,2,PSME28,Watered,yes,7.44,467,5,10.03,Pseudotsuga menziesii,21,725,71.7,10,alive,0,Douglas fir,no,LPS3038,1802000,1/27/2022 8:26,1/27/2022,826,71.7,19.2,21.1,9.5,71.7,yes,16,NA,71.81123403
Douglas fir,PSME,Ambient,1,2,PSME28,Watered,yes,7.44,467,5,10.03,Pseudotsuga menziesii,22,663,45.9,10,alive,0,Douglas fir,no,LPS2668,1803502,2/3/2022 9:54,2/3/2022,954,45.9,17.9,22.9,10.8,45.9,yes,16,NA,40.44617823
Douglas fir,PSME,Ambient,1,2,PSME28,Watered,yes,7.44,467,5,10.03,Pseudotsuga menziesii,23,721,45.1,25,alive,0,Douglas fir,no,LPS2668,2003204,2/10/2022 9:31,2/10/2022,931,45.1,20.9,21.9,10.9,45.1,yes,16,NA,24.63797881
Douglas fir,PSME,Ambient,1,2,PSME28,Watered,yes,7.44,467,5,10.03,Pseudotsuga menziesii,24,655,56.8,10,alive,0,Douglas fir,no,LPS3038,2002300,2/17/2022 10:24,2/17/2022,1024,56.8,19.5,18.6,8.2,56.8,yes,16,NA,41.86983799
Douglas fir,PSME,Ambient,1,2,PSME29,Watered,yes,6.87,402,3,10.4,Pseudotsuga menziesii,1,694,127.8,10,alive,0,Douglas fir,no,LPS3038,2503002,9/10/2021 15:03,9/10/2021,1503,127.8,26,36.1,16.3,127.8,no,NA,NA,40.95123116
Douglas fir,PSME,Ambient,1,2,PSME29,Watered,yes,6.87,402,3,10.4,Pseudotsuga menziesii,2,687,NA,10,alive,0,Douglas fir,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,NA,NA,NA
Douglas fir,PSME,Ambient,1,2,PSME29,Watered,yes,6.87,402,3,10.4,Pseudotsuga menziesii,3,728,197.3,10,alive,0,Douglas fir,no,LPS3038,2302801,9/23/2021 15:54,9/23/2021,1554,197.3,23.8,42.3,18.9,197.3,no,NA,NA,51.46710924
Douglas fir,PSME,Ambient,1,2,PSME29,Watered,yes,6.87,402,3,10.4,Pseudotsuga menziesii,4,703,386.2,10,alive,0,Douglas fir,no,LPS3038,2302602,10/1/2021 11:44,10/1/2021,1144,386.2,23.5,52,23.5,386.2,no,NA,NA,76.43847199
Douglas fir,PSME,Ambient,1,2,PSME29,Watered,yes,6.87,402,3,10.4,Pseudotsuga menziesii,5,734,237.4,10,alive,0,Douglas fir,no,LPS3038,2302402,10/8/2021 14:35,10/8/2021,1435,237.4,24.8,43.2,19.8,237.4,no,NA,NA,70.06670631
Douglas fir,PSME,Ambient,1,2,PSME29,Watered,yes,6.87,402,3,10.4,Pseudotsuga menziesii,6,683,314.3,10,alive,0,Douglas fir,no,LPS3038,2002202,10/14/2021 11:38,10/14/2021,1138,314.3,22.4,45.8,20.2,314.3,no,NA,NA,126.472184
Douglas fir,PSME,Ambient,1,2,PSME29,Watered,yes,6.87,402,3,10.4,Pseudotsuga menziesii,7,746,202.3,10,alive,0,Douglas fir,no,LPS3038,2402402,10/21/2021 16:30,10/21/2021,1630,202.3,24.3,39.1,16.7,202.3,no,NA,NA,73.99813061
Douglas fir,PSME,Ambient,1,2,PSME29,Watered,yes,6.87,402,3,10.4,Pseudotsuga menziesii,8,700,218.7,10,alive,0,Douglas fir,no,LPS3038,2202000,10/28/2021 12:49,10/28/2021,1249,218.7,22,37.5,16,218.7,no,NA,NA,59.64162417
Douglas fir,PSME,Ambient,1,2,PSME29,Watered,yes,6.87,402,3,10.4,Pseudotsuga menziesii,9,681,282.1,10,alive,0,Douglas fir,no,LPS3038,2102002,11/4/2021 14:29,11/4/2021,1429,282.1,22.2,42.3,18.6,282.1,no,NA,NA,69.25787561
Douglas fir,PSME,Ambient,1,2,PSME29,Watered,yes,6.87,402,3,10.4,Pseudotsuga menziesii,10,599,232.2,10,alive,0,Douglas fir,no,LPS3038,2102001,11/12/2021 8:40,11/12/2021,840,232.2,21.2,39.1,17.1,232.2,no,NA,NA,69.12339208
Douglas fir,PSME,Ambient,1,2,PSME29,Watered,yes,6.87,402,3,10.4,Pseudotsuga menziesii,11,647,141.1,10,alive,0,Douglas fir,no,LPS3038,2002001,11/18/2021 12:09,11/18/2021,1209,141.1,21.1,30,12.7,141.1,no,NA,NA,28.12329995
Douglas fir,PSME,Ambient,1,2,PSME29,Watered,yes,6.87,402,3,10.4,Pseudotsuga menziesii,12,557,143.5,10,alive,0,Douglas fir,no,LPS3038,2002000,11/23/2021 12:35,11/23/2021,1235,143.5,21.9,30.7,13.4,143.5,no,NA,NA,4.807286137
Douglas fir,PSME,Ambient,1,2,PSME29,Watered,yes,6.87,402,3,10.4,Pseudotsuga menziesii,13,645,158.4,10,alive,0,Douglas fir,no,LPS3038,2102100,12/2/2021 9:41,12/2/2021,941,158.4,21.7,32.8,14,158.4,no,NA,NA,39.39014259
Douglas fir,PSME,Ambient,1,2,PSME29,Watered,yes,6.87,402,3,10.4,Pseudotsuga menziesii,14,556,203.1,10,alive,0,Douglas fir,no,LPS3038,2002001,12/9/2021 11:31,12/9/2021,1131,203.1,19.5,35.8,15,203.1,no,NA,NA,42.55384824
Douglas fir,PSME,Ambient,1,2,PSME29,Watered,yes,6.87,402,3,10.4,Pseudotsuga menziesii,15,562,185.2,10,alive,0,Douglas fir,no,LPS3038,1802001,12/16/2021 12:24,12/16/2021,1224,185.2,18.3,36.1,16.3,185.2,no,NA,NA,48.78876237
Douglas fir,PSME,Ambient,1,2,PSME29,Watered,yes,6.87,402,3,10.4,Pseudotsuga menziesii,16,NA,103.7,NA,alive,0,Douglas fir,no,LPS3038,2102002,12/23/2021 12:39,12/23/2021,1239,103.7,21.7,25,10.5,103.7,no,NA,NA,21.10931864
Douglas fir,PSME,Ambient,1,2,PSME29,Watered,yes,6.87,402,3,10.4,Pseudotsuga menziesii,17,585,NA,10,alive,0,Douglas fir,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,NA,NA,NA
Douglas fir,PSME,Ambient,1,2,PSME29,Watered,yes,6.87,402,3,10.4,Pseudotsuga menziesii,18,510,NA,10,alive,0,Douglas fir,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,NA,NA,NA
Douglas fir,PSME,Ambient,1,2,PSME29,Watered,yes,6.87,402,3,10.4,Pseudotsuga menziesii,19,629,79.1,10,alive,0,Douglas fir,no,LPS2668,1903801,1/14/2022 9:51,1/14/2022,951,79.1,20,33.4,15.6,79.1,no,NA,NA,18.50522449
Douglas fir,PSME,Ambient,1,2,PSME29,Watered,yes,6.87,402,3,10.4,Pseudotsuga menziesii,20,532,154.8,10,alive,0,Douglas fir,no,LPS3038,1902300,1/20/2022 10:24,1/20/2022,1024,154.8,20.7,35.4,15.8,154.8,no,NA,NA,49.33622739
Douglas fir,PSME,Ambient,1,2,PSME29,Watered,yes,6.87,402,3,10.4,Pseudotsuga menziesii,21,621,204.1,10,alive,0,Douglas fir,no,LPS3038,1802000,1/27/2022 8:58,1/27/2022,858,204.1,18.7,37.9,17.1,204.1,no,NA,NA,71.81123403
Douglas fir,PSME,Ambient,1,2,PSME29,Watered,yes,6.87,402,3,10.4,Pseudotsuga menziesii,22,525,114.3,25,alive,0,Douglas fir,no,LPS2668,1803502,2/3/2022 10:00,2/3/2022,1000,114.3,17.8,37.4,17.1,114.3,maybe,NA,NA,40.44617823
Douglas fir,PSME,Ambient,1,2,PSME29,Watered,yes,6.87,402,3,10.4,Pseudotsuga menziesii,23,580,91.1,10,alive,0,Douglas fir,no,LPS2668,2003204,2/10/2022 9:41,2/10/2022,941,91.1,20.2,33,16,91.1,maybe,NA,NA,24.63797881
Douglas fir,PSME,Ambient,1,2,PSME29,Watered,yes,6.87,402,3,10.4,Pseudotsuga menziesii,24,505,128.3,25,alive,0,Douglas fir,no,LPS3038,2002300,2/17/2022 10:29,2/17/2022,1029,128.3,19.4,31.2,13.8,128.3,maybe,NA,NA,41.86983799
Douglas fir,PSME,Ambient,1,2,PSME30,Watered,yes,7.28,457,4,11.1,Pseudotsuga menziesii,1,743,45.9,10,alive,0,Douglas fir,no,LPS3038,2503002,9/10/2021 13:44,9/10/2021,1344,45.9,24.6,18.6,7.6,45.9,no,NA,NA,40.95123116
Douglas fir,PSME,Ambient,1,2,PSME30,Watered,yes,7.28,457,4,11.1,Pseudotsuga menziesii,2,736,NA,10,alive,0,Douglas fir,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,NA,NA,NA
Douglas fir,PSME,Ambient,1,2,PSME30,Watered,yes,7.28,457,4,11.1,Pseudotsuga menziesii,3,756,96.3,10,alive,0,Douglas fir,no,LPS3038,2302801,9/23/2021 15:14,9/23/2021,1514,96.3,22.9,29.9,13.3,96.3,no,NA,NA,51.46710924
Douglas fir,PSME,Ambient,1,2,PSME30,Watered,yes,7.28,457,4,11.1,Pseudotsuga menziesii,4,733,256.8,10,alive,0,Douglas fir,no,LPS3038,2302602,10/1/2021 11:16,10/1/2021,1116,256.8,23.6,45.1,19.9,256.8,no,NA,NA,76.43847199
Douglas fir,PSME,Ambient,1,2,PSME30,Watered,yes,7.28,457,4,11.1,Pseudotsuga menziesii,5,765,97.3,10,alive,0,Douglas fir,no,LPS3038,2302402,10/8/2021 14:10,10/8/2021,1410,97.3,23.4,28.4,13.3,97.3,no,NA,NA,70.06670631
Douglas fir,PSME,Ambient,1,2,PSME30,Watered,yes,7.28,457,4,11.1,Pseudotsuga menziesii,6,728,106.5,10,alive,0,Douglas fir,no,LPS3038,2002202,10/14/2021 10:59,10/14/2021,1059,106.5,20.9,27.3,11.8,106.5,no,NA,NA,126.472184
Douglas fir,PSME,Ambient,1,2,PSME30,Watered,yes,7.28,457,4,11.1,Pseudotsuga menziesii,7,754,66.4,10,alive,0,Douglas fir,no,LPS3038,2402402,10/21/2021 16:45,10/21/2021,1645,66.4,24.2,21.1,9,66.4,no,NA,NA,73.99813061
Douglas fir,PSME,Ambient,1,2,PSME30,Watered,yes,7.28,457,4,11.1,Pseudotsuga menziesii,8,737,115.8,10,alive,0,Douglas fir,no,LPS3038,2202000,10/28/2021 11:54,10/28/2021,1154,115.8,23.2,25.5,9.8,115.8,no,NA,NA,59.64162417
Douglas fir,PSME,Ambient,1,2,PSME30,Watered,yes,7.28,457,4,11.1,Pseudotsuga menziesii,9,738,183.1,10,alive,0,Douglas fir,no,LPS3038,2102002,11/4/2021 12:05,11/4/2021,1205,183.1,22.5,35.2,15.8,183.1,no,NA,NA,69.25787561
Douglas fir,PSME,Ambient,1,2,PSME30,Watered,yes,7.28,457,4,11.1,Pseudotsuga menziesii,10,680,115,10,alive,0,Douglas fir,no,LPS3038,2102001,11/12/2021 8:37,11/12/2021,837,115,21.4,27.3,12.1,115,no,NA,NA,69.12339208
Douglas fir,PSME,Ambient,1,2,PSME30,Watered,yes,7.28,457,4,11.1,Pseudotsuga menziesii,11,701,86.5,10,alive,0,Douglas fir,no,LPS3038,2002001,11/18/2021 11:34,11/18/2021,1134,86.5,22.2,22.5,9.7,86.5,no,NA,NA,28.12329995
Douglas fir,PSME,Ambient,1,2,PSME30,Watered,yes,7.28,457,4,11.1,Pseudotsuga menziesii,12,643,135.9,10,alive,0,Douglas fir,no,LPS3038,2002000,11/23/2021 12:30,11/23/2021,1230,135.9,21.8,30,13.2,135.9,no,NA,NA,4.807286137
Douglas fir,PSME,Ambient,1,2,PSME30,Watered,yes,7.28,457,4,11.1,Pseudotsuga menziesii,13,708,124.9,10,alive,0,Douglas fir,no,LPS3038,2102100,12/2/2021 9:30,12/2/2021,930,124.9,22,28.9,12.3,124.9,no,NA,NA,39.39014259
Douglas fir,PSME,Ambient,1,2,PSME30,Watered,yes,7.28,457,4,11.1,Pseudotsuga menziesii,14,638,174.6,10,alive,0,Douglas fir,no,LPS3038,2002001,12/9/2021 11:25,12/9/2021,1125,174.6,19.6,33.6,14.4,174.6,no,NA,NA,42.55384824
Douglas fir,PSME,Ambient,1,2,PSME30,Watered,yes,7.28,457,4,11.1,Pseudotsuga menziesii,15,664,205.8,10,alive,0,Douglas fir,no,LPS3038,1802001,12/16/2021 12:14,12/16/2021,1214,205.8,18.4,36.6,15.4,205.8,no,NA,NA,48.78876237
Douglas fir,PSME,Ambient,1,2,PSME30,Watered,yes,7.28,457,4,11.1,Pseudotsuga menziesii,16,NA,104.8,NA,alive,0,Douglas fir,no,LPS3038,2102002,12/23/2021 12:04,12/23/2021,1204,104.8,21.5,24.9,10.3,104.8,maybe,NA,NA,21.10931864
Douglas fir,PSME,Ambient,1,2,PSME30,Watered,yes,7.28,457,4,11.1,Pseudotsuga menziesii,17,713,NA,10,alive,0,Douglas fir,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,maybe,NA,NA,NA
Douglas fir,PSME,Ambient,1,2,PSME30,Watered,yes,7.28,457,4,11.1,Pseudotsuga menziesii,18,650,NA,10,alive,0,Douglas fir,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,maybe,NA,NA,NA
Douglas fir,PSME,Ambient,1,2,PSME30,Watered,yes,7.28,457,4,11.1,Pseudotsuga menziesii,19,688,54.7,10,alive,0,Douglas fir,no,LPS2668,1903801,1/14/2022 9:30,1/14/2022,930,54.7,20,27,12.5,54.7,maybe,NA,NA,18.50522449
Douglas fir,PSME,Ambient,1,2,PSME30,Watered,yes,7.28,457,4,11.1,Pseudotsuga menziesii,20,614,75.8,10,alive,0,Douglas fir,no,LPS3038,1902300,1/20/2022 9:38,1/20/2022,938,75.8,20.2,23.5,10.4,75.8,maybe,NA,NA,49.33622739
Douglas fir,PSME,Ambient,1,2,PSME30,Watered,yes,7.28,457,4,11.1,Pseudotsuga menziesii,21,668,89.7,10,alive,0,Douglas fir,no,LPS3038,1802000,1/27/2022 8:23,1/27/2022,823,89.7,19.2,25,11.7,89.7,maybe,NA,NA,71.81123403
Douglas fir,PSME,Ambient,1,2,PSME30,Watered,yes,7.28,457,4,11.1,Pseudotsuga menziesii,22,588,42.7,10,alive,0,Douglas fir,no,LPS2668,1803502,2/3/2022 9:56,2/3/2022,956,42.7,17.9,21.2,9.7,42.7,maybe,NA,NA,40.44617823
Douglas fir,PSME,Ambient,1,2,PSME30,Watered,yes,7.28,457,4,11.1,Pseudotsuga menziesii,23,644,83.4,25,alive,0,Douglas fir,no,LPS2668,2003204,2/10/2022 9:29,2/10/2022,929,83.4,21,31.7,15.6,83.4,maybe,NA,NA,24.63797881
Douglas fir,PSME,Ambient,1,2,PSME30,Watered,yes,7.28,457,4,11.1,Pseudotsuga menziesii,24,576,130.3,10,alive,0,Douglas fir,no,LPS3038,2002300,2/17/2022 10:26,2/17/2022,1026,130.3,19.4,31.5,13.9,130.3,maybe,NA,NA,41.86983799
Douglas fir,PSME,Ambient,1,2,PSME31,Drought,yes,5.17,314,3,4.66,Pseudotsuga menziesii,1,620,179.9,10,alive,0,Douglas fir,no,LPS3038,2503002,9/10/2021 16:40,9/10/2021,1640,179.9,25.3,42.3,19.4,179.9,no,13,11.5,51.54098693
Douglas fir,PSME,Ambient,1,2,PSME31,Drought,yes,5.17,314,3,4.66,Pseudotsuga menziesii,2,614,247.9,10,alive,0,Douglas fir,no,LPS3038,2402902,9/17/2021 13:11,9/17/2021,1311,247.9,25.3,47.2,21.8,247.9,no,13,11.5,53.11783651
Douglas fir,PSME,Ambient,1,2,PSME31,Drought,yes,5.17,314,3,4.66,Pseudotsuga menziesii,3,593,239.7,10,alive,0,Douglas fir,no,LPS3038,2302801,9/23/2021 15:57,9/23/2021,1557,239.7,23.8,45.5,20.4,239.7,no,13,11.5,113.4499425
Douglas fir,PSME,Ambient,1,2,PSME31,Drought,yes,5.17,314,3,4.66,Pseudotsuga menziesii,4,580,307.3,10,alive,0,Douglas fir,no,LPS3038,2302602,10/1/2021 11:47,10/1/2021,1147,307.3,23.5,48.2,21.4,307.3,no,13,11.5,67.15693809
Douglas fir,PSME,Ambient,1,2,PSME31,Drought,yes,5.17,314,3,4.66,Pseudotsuga menziesii,5,564,328.6,10,alive,0,Douglas fir,no,LPS3038,2302402,10/8/2021 14:39,10/8/2021,1439,328.6,24.8,48.7,22.4,328.6,no,13,11.5,90.56608146
Douglas fir,PSME,Ambient,1,2,PSME31,Drought,yes,5.17,314,3,4.66,Pseudotsuga menziesii,6,529,96.6,10,alive,0,Douglas fir,no,LPS3038,2002202,10/14/2021 11:41,10/14/2021,1141,96.6,22.2,26,11.5,96.6,no,13,11.5,76.84201686
Douglas fir,PSME,Ambient,1,2,PSME31,Drought,yes,5.17,314,3,4.66,Pseudotsuga menziesii,7,503,135.6,10,alive,0,Douglas fir,no,LPS3038,2402402,10/21/2021 16:19,10/21/2021,1619,135.6,23.8,32.4,13.8,135.6,no,13,11.5,30.64217138
Douglas fir,PSME,Ambient,1,2,PSME31,Drought,yes,5.17,314,3,4.66,Pseudotsuga menziesii,8,449,99.8,10,alive,0,Douglas fir,no,LPS3038,2202000,10/28/2021 12:54,10/28/2021,1254,99.8,22.5,24.5,10.5,99.8,no,13,11.5,33.4126074
Douglas fir,PSME,Ambient,1,2,PSME31,Drought,yes,5.17,314,3,4.66,Pseudotsuga menziesii,9,411,131.4,10,alive,0,Douglas fir,no,LPS3038,2102002,11/4/2021 14:46,11/4/2021,1446,131.4,23.1,29.7,13.3,131.4,no,13,11.5,67.05377941
Douglas fir,PSME,Ambient,1,2,PSME31,Drought,yes,5.17,314,3,4.66,Pseudotsuga menziesii,10,374,207.7,10,alive,0,Douglas fir,no,LPS3038,2102001,11/12/2021 8:42,11/12/2021,842,207.7,21.1,37.2,16.3,207.7,no,13,11.5,46.52769904
Douglas fir,PSME,Ambient,1,2,PSME31,Drought,yes,5.17,314,3,4.66,Pseudotsuga menziesii,11,340,68.5,10,alive,0,Douglas fir,no,LPS3038,2002001,11/18/2021 12:13,11/18/2021,1213,68.5,21,18.9,8,68.5,maybe,13,11.5,26.55848055
Douglas fir,PSME,Ambient,1,2,PSME31,Drought,yes,5.17,314,3,4.66,Pseudotsuga menziesii,12,321,105.8,10,alive,0,Douglas fir,no,LPS3038,2002000,11/23/2021 12:47,11/23/2021,1247,105.8,22.3,25.5,11,105.8,maybe,13,11.5,30.15036576
Douglas fir,PSME,Ambient,1,2,PSME31,Drought,yes,5.17,314,3,4.66,Pseudotsuga menziesii,13,312,63.5,10,alive,0,Douglas fir,no,LPS3038,2102100,12/2/2021 9:40,12/2/2021,940,63.5,21.7,17.9,7.1,63.5,yes,13,11.5,8.743632604
Douglas fir,PSME,Ambient,1,2,PSME31,Drought,yes,5.17,314,3,4.66,Pseudotsuga menziesii,14,302,56.2,10,alive,0,Douglas fir,no,LPS3038,2002001,12/9/2021 11:48,12/9/2021,1148,56.2,19.5,15.6,6.2,56.2,yes,13,11.5,12.52613268
Douglas fir,PSME,Ambient,1,2,PSME31,Drought,yes,5.17,314,3,4.66,Pseudotsuga menziesii,15,295,73.6,10,alive,0,Douglas fir,no,LPS3038,1802001,12/16/2021 12:36,12/16/2021,1236,73.6,18.4,20.7,9.1,73.6,yes,13,11.5,5.981489967
Douglas fir,PSME,Ambient,1,2,PSME31,Drought,yes,5.17,314,3,4.66,Pseudotsuga menziesii,16,NA,42,NA,alive,0,Douglas fir,no,LPS3038,2102002,12/23/2021 12:41,12/23/2021,1241,42,21.6,12.3,4.7,42,yes,13,11.5,5.354551543
Douglas fir,PSME,Ambient,1,2,PSME31,Drought,yes,5.17,314,3,4.66,Pseudotsuga menziesii,17,289,NA,10,alive,0,Douglas fir,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,13,11.5,NA
Douglas fir,PSME,Ambient,1,2,PSME31,Drought,yes,5.17,314,3,4.66,Pseudotsuga menziesii,18,285,NA,10,alive,0,Douglas fir,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,13,11.5,NA
Douglas fir,PSME,Ambient,1,2,PSME31,Drought,yes,5.17,314,3,4.66,Pseudotsuga menziesii,19,284,32.6,25,alive,0,Douglas fir,no,LPS2668,1903801,1/14/2022 9:58,1/14/2022,958,32.6,20,19,8.6,32.6,yes,13,11.5,3.767757954
Douglas fir,PSME,Ambient,1,2,PSME31,Drought,yes,5.17,314,3,4.66,Pseudotsuga menziesii,20,282,65.6,25,alive,0,Douglas fir,no,LPS3038,1902300,1/20/2022 10:46,1/20/2022,1046,65.6,20.4,21.1,9.1,65.6,yes,13,11.5,8.468667743
Douglas fir,PSME,Ambient,1,2,PSME31,Drought,yes,5.17,314,3,4.66,Pseudotsuga menziesii,21,281,46.5,50,dead,1,Douglas fir,no,LPS3038,1802000,1/27/2022 9:18,1/27/2022,918,46.5,18.8,14.8,6.4,46.5,yes,13,11.5,9.631320436
Douglas fir,PSME,Ambient,1,2,PSME31,Drought,yes,5.17,314,3,4.66,Pseudotsuga menziesii,22,279,22.8,50,dead,1,Douglas fir,no,LPS2668,1803502,2/3/2022 10:08,2/3/2022,1008,22.8,17.6,13.2,6,22.8,yes,13,11.5,14.4503787
Douglas fir,PSME,Ambient,1,2,PSME31,Drought,yes,5.17,314,3,4.66,Pseudotsuga menziesii,23,278,24.5,75,dead,1,Douglas fir,no,LPS2668,2003204,2/10/2022 9:48,2/10/2022,948,24.5,19.9,14.3,7.2,24.5,yes,13,11.5,14.83098858
