Phase,Chamber,Species,SpeciesID,Treatment_temp,Treatment_water,PorometerSubset,BasalDia_mm,Height_mm,Whorls,Comments
1,1,PIPO,PIPO14,Ambient,Drought,yes,6.17,218,5,
1,1,PIPO,PIPO15,Ambient,Watered,yes,4.29,90,4,
1,1,PIPO,PIPO16,Ambient_HW,Drought,yes,6.22,171,5,
1,1,PIPO,PIPO17,Ambient,Watered,no,7.01,163,6,
1,1,PIPO,PIPO18,Ambient,Drought,yes,4.55,85,4,
1,1,PIPO,PIPO19,Ambient,Drought,yes,6.82,164,5,
1,1,PIPO,PIPO20,Ambient,Drought,no,5.62,125,6,
1,1,PIPO,PIPO21,Ambient,Drought,yes,9.07,232,4,
1,1,PIPO,PIPO22,Ambient_HW,Drought,yes,4.08,101,3,
1,1,PIPO,PIPO23,Ambient_HW,Drought,no,8.06,200,5,
1,1,PIPO,PIPO24,Ambient_HW,Drought,yes,9.71,240,4,
1,1,PIPO,PIPO25,Ambient_HW,Drought,no,4.92,105,3,
1,1,PIPO,PIPO26,Ambient,Watered,no,8.11,220,5,
1,1,PIPO,PIPO27,Ambient_HW,Watered,no,8.26,208,5,
1,1,PIPO,PIPO28,Ambient,Drought,yes,7.87,302,6,
1,1,PIPO,PIPO29,Ambient_HW,Drought,yes,8.20,247,6,
1,1,PIPO,PIPO30,Ambient,Drought,no,8.38,199,5,
1,1,PIPO,PIPO31,Ambient,Drought,no,6.49,180,5,
1,1,PIPO,PIPO32,Ambient_HW,Drought,no,5.40,111,3,
1,1,PIPO,PIPO33,Ambient_HW,Drought,yes,4.87,128,5,
1,1,PIPO,PIPO34,Ambient,Drought,no,6.05,127,4,
1,1,PIPO,PIPO35,Ambient_HW,Drought,no,7.07,212,6,
1,1,PIPO,PIPO36,Ambient,Drought,yes,6.10,202,5,
1,1,PIPO,PIPO37,Ambient_HW,Watered,yes,5.63,218,5,
1,1,PIPO,PIPO38,Ambient,Drought,no,9.35,265,4,
1,1,PIPO,PIPO39,Ambient_HW,Drought,yes,7.06,199,4,
1,1,PIPO,PIPO40,Ambient_HW,Drought,no,7.78,286,6,
1,1,PIPO,PIPO41,Ambient_HW,Drought,yes,6.03,191,5,
1,1,PIPO,PIPO42,Ambient,Drought,yes,7.39,324,5,
1,1,PIPO,PIPO43,Ambient_HW,Drought,no,7.46,180,4,
1,1,PIPO,PIPO44,Ambient,Drought,yes,7.08,164,5,
1,1,PIPO,PIPO45,Ambient_HW,Drought,yes,8.08,256,6,
1,1,PIPO,PIPO46,Ambient,Drought,no,6.70,217,5,
1,1,PIPO,PIPO47,Ambient,Drought,no,8.73,190,4,
1,1,PIPO,PIPO48,Ambient_HW,Watered,yes,8.52,304,5,
1,1,PIPO,PIPO49,Ambient_HW,Watered,yes,6.08,165,4,
1,1,PIPO,PIPO50,Ambient,Drought,no,6.95,190,4,
1,2,PSME,PSME01,Ambient_HW,Watered,no,6.60,313,4,
1,2,PSME,PSME02,Ambient_HW,Watered,no,6.87,387,4,
1,2,PSME,PSME03,Ambient_HW,Watered,yes,7.66,402,4,
1,2,PSME,PSME04,Ambient_HW,Watered,yes,5.89,418,5,
1,2,PSME,PSME05,Ambient_HW,Watered,yes,7.72,385,4,
1,2,PSME,PSME06,Ambient_HW,Drought,yes,7.15,451,4,
1,2,PSME,PSME07,Ambient_HW,Drought,yes,6.79,390,5,
1,2,PSME,PSME08,Ambient_HW,Drought,yes,6.23,394,5,
1,2,PSME,PSME09,Ambient_HW,Drought,yes,7.46,440,7,
1,2,PSME,PSME10,Ambient_HW,Drought,yes,7.13,480,3,
1,2,PSME,PSME11,Ambient_HW,Drought,yes,5.30,422,4,
1,2,PSME,PSME12,Ambient_HW,Drought,yes,5.52,418,4,
1,2,PSME,PSME13,Ambient_HW,Drought,yes,6.58,417,4,
1,2,PSME,PSME14,Ambient_HW,Drought,yes,5.18,261,3,
1,2,PSME,PSME15,Ambient_HW,Drought,yes,5.24,420,4,
1,2,PSME,PSME16,Ambient_HW,Drought,no,5.55,378,4,
1,2,PSME,PSME17,Ambient_HW,Drought,no,7.32,390,4,
1,2,PSME,PSME18,Ambient_HW,Drought,no,6.78,451,6,
1,2,PSME,PSME19,Ambient_HW,Drought,no,5.86,478,4,
1,2,PSME,PSME20,Ambient_HW,Drought,no,5.74,482,6,
1,2,PSME,PSME21,Ambient_HW,Drought,no,5.94,427,5,
1,2,PSME,PSME22,Ambient_HW,Drought,no,6.39,395,5,
1,2,PSME,PSME23,Ambient_HW,Drought,no,4.22,284,3,
1,2,PSME,PSME24,Ambient_HW,Drought,no,7.03,420,4,
1,2,PSME,PSME25,Ambient_HW,Drought,no,5.48,221,3,
1,2,PSME,PSME26,Ambient,Watered,no,6.85,347,3,
1,2,PSME,PSME27,Ambient,Watered,no,7.04,350,4,
1,2,PSME,PSME28,Ambient,Watered,yes,7.44,467,5,
1,2,PSME,PSME29,Ambient,Watered,yes,6.87,402,3,
1,2,PSME,PSME30,Ambient,Watered,yes,7.28,457,4,
1,2,PSME,PSME31,Ambient,Drought,yes,5.17,314,3,
1,2,PSME,PSME32,Ambient,Drought,yes,5.44,412,4,
1,2,PSME,PSME33,Ambient,Drought,yes,5.48,395,4,
1,2,PSME,PSME34,Ambient,Drought,yes,6.32,403,4,
1,2,PSME,PSME35,Ambient,Drought,yes,5.89,390,4,
1,2,PSME,PSME36,Ambient,Drought,yes,6.86,370,3,
1,2,PSME,PSME37,Ambient,Drought,yes,5.43,435,7,
1,2,PSME,PSME38,Ambient,Drought,yes,6.28,380,3,
1,2,PSME,PSME39,Ambient,Drought,yes,6.33,354,3,
1,2,PSME,PSME40,Ambient,Drought,yes,5.63,350,3,
1,2,PSME,PSME41,Ambient,Drought,no,5.82,470,4,
1,2,PSME,PSME42,Ambient,Drought,no,6.67,374,4,
1,2,PSME,PSME43,Ambient,Drought,no,5.28,366,3,
1,2,PSME,PSME44,Ambient,Drought,no,5.87,324,3,
1,2,PSME,PSME45,Ambient,Drought,no,5.74,447,4,
1,2,PSME,PSME46,Ambient,Drought,no,5.11,282,3,
1,2,PSME,PSME47,Ambient,Drought,no,6.74,434,5,
1,2,PSME,PSME48,Ambient,Drought,no,5.64,432,4,
1,2,PSME,PSME49,Ambient,Drought,no,5.37,444,4,
1,2,PSME,PSME50,Ambient,Drought,no,6.40,387,4,
