Species,SpeciesID,Week,Phase,Chamber,ScientificName,CommonName,Treatment_temp,Treatment_water,PorometerSubset,BasalDia_mm,Height_mm,Whorls,Biomass_g,Weight_g,Porometer,PercentBrown,Dead,SerialNumber,CalNum,DateTime,Date,Time,Conductance,Temperature_C,LeafSensor_PercentRH,FilterSensor_PercentRH
PIED,PIED01,9.5,1,1,Pinus edulis,Pinyon Pine,Ambient,Watered,yes,6.76,231,5,9.3,NA,NA,NA,alive,NA,NA,NA,NA,NA,NA,NA,NA,NA
PIED,PIED01,10,1,1,Pinus edulis,Pinyon Pine,Ambient,Watered,yes,6.76,231,5,9.3,616,114,10,alive,LPS3038,2102000,2021-10-29 11:35:00,2021-10-29,1135,114,23.3,26.6,11.4
PIED,PIED01,10.5,1,1,Pinus edulis,Pinyon Pine,Ambient,Watered,yes,6.76,231,5,9.3,NA,NA,10,alive,NA,NA,NA,NA,NA,NA,NA,NA,NA
PIED,PIED01,11,1,1,Pinus edulis,Pinyon Pine,Ambient,Watered,yes,6.76,231,5,9.3,602,181.7,10,alive,LPS3038,2102002,2021-11-04 10:39:00,2021-11-04,1039,181.7,22.9,34.7,15.2
PIED,PIED01,11.5,1,1,Pinus edulis,Pinyon Pine,Ambient,Watered,yes,6.76,231,5,9.3,NA,NA,10,alive,NA,NA,NA,NA,NA,NA,NA,NA,NA
PIED,PIED01,12,1,1,Pinus edulis,Pinyon Pine,Ambient,Watered,yes,6.76,231,5,9.3,518,161.3,10,alive,LPS3038,2102001,2021-11-12 10:35:00,2021-11-12,1035,161.3,21.5,32.6,14.2
PIED,PIED01,12.5,1,1,Pinus edulis,Pinyon Pine,Ambient,Watered,yes,6.76,231,5,9.3,NA,NA,10,alive,NA,NA,NA,NA,NA,NA,NA,NA,NA
PIED,PIED01,13,1,1,Pinus edulis,Pinyon Pine,Ambient,Watered,yes,6.76,231,5,9.3,551,131.6,10,alive,LPS3038,2002001,2021-11-18 09:54:00,2021-11-18,0954,131.6,21.4,29,12.4
PIED,PIED01,13.5,1,1,Pinus edulis,Pinyon Pine,Ambient,Watered,yes,6.76,231,5,9.3,NA,NA,10,alive,NA,NA,NA,NA,NA,NA,NA,NA,NA
PIED,PIED01,14,1,1,Pinus edulis,Pinyon Pine,Ambient,Watered,yes,6.76,231,5,9.3,465,223.2,10,alive,LPS3038,2002000,2021-11-23 15:49:00,2021-11-23,1549,223.2,22.4,37.8,16.2
PIED,PIED01,14.5,1,1,Pinus edulis,Pinyon Pine,Ambient,Watered,yes,6.76,231,5,9.3,NA,NA,10,alive,NA,NA,NA,NA,NA,NA,NA,NA,NA
PIED,PIED01,15,1,1,Pinus edulis,Pinyon Pine,Ambient,Watered,yes,6.76,231,5,9.3,517,170,10,alive,LPS3038,2102100,2021-12-02 09:16:00,2021-12-02,0916,170,21.9,33.4,13.7
PIED,PIED01,15.5,1,1,Pinus edulis,Pinyon Pine,Ambient,Watered,yes,6.76,231,5,9.3,NA,NA,10,alive,NA,NA,NA,NA,NA,NA,NA,NA,NA
PIED,PIED01,16,1,1,Pinus edulis,Pinyon Pine,Ambient,Watered,yes,6.76,231,5,9.3,445,173.4,10,alive,LPS3038,2002001,2021-12-09 12:43:00,2021-12-09,1243,173.4,19.9,33.3,13.9
PIED,PIED01,16.5,1,1,Pinus edulis,Pinyon Pine,Ambient,Watered,yes,6.76,231,5,9.3,NA,NA,10,alive,NA,NA,NA,NA,NA,NA,NA,NA,NA
PIED,PIED01,17,1,1,Pinus edulis,Pinyon Pine,Ambient,Watered,yes,6.76,231,5,9.3,449,178.8,10,alive,LPS3038,1802001,2021-12-16 15:11:00,2021-12-16,1511,178.8,19.2,35.1,15.2
PIED,PIED01,17.5,1,1,Pinus edulis,Pinyon Pine,Ambient,Watered,yes,6.76,231,5,9.3,NA,NA,10,alive,NA,NA,NA,NA,NA,NA,NA,NA,NA
PIED,PIED01,18,1,1,Pinus edulis,Pinyon Pine,Ambient,Watered,yes,6.76,231,5,9.3,NA,53,NA,alive,LPS3038,2102002,2021-12-23 11:42:00,2021-12-23,1142,53,21.6,14.9,5.7
PIED,PIED01,18.5,1,1,Pinus edulis,Pinyon Pine,Ambient,Watered,yes,6.76,231,5,9.3,NA,NA,10,alive,NA,NA,NA,NA,NA,NA,NA,NA,NA
PIED,PIED01,19,1,1,Pinus edulis,Pinyon Pine,Ambient,Watered,yes,6.76,231,5,9.3,481,NA,10,alive,NA,NA,NA,NA,NA,NA,NA,NA,NA
PIED,PIED01,19.5,1,1,Pinus edulis,Pinyon Pine,Ambient,Watered,yes,6.76,231,5,9.3,NA,NA,10,alive,NA,NA,NA,NA,NA,NA,NA,NA,NA
PIED,PIED01,20,1,1,Pinus edulis,Pinyon Pine,Ambient,Watered,yes,6.76,231,5,9.3,432,NA,10,alive,NA,NA,NA,NA,NA,NA,NA,NA,NA
PIED,PIED01,20.5,1,1,Pinus edulis,Pinyon Pine,Ambient,Watered,yes,6.76,231,5,9.3,NA,NA,10,alive,NA,NA,NA,NA,NA,NA,NA,NA,NA
PIED,PIED01,21,1,1,Pinus edulis,Pinyon Pine,Ambient,Watered,yes,6.76,231,5,9.3,504,200.4,10,alive,LPS3038,1902100,2022-01-14 09:22:00,2022-01-14,0922,200.4,19.3,37.1,15.9
PIED,PIED01,21.5,1,1,Pinus edulis,Pinyon Pine,Ambient,Watered,yes,6.76,231,5,9.3,NA,NA,NA,alive,NA,NA,NA,NA,NA,NA,NA,NA,NA
PIED,PIED01,22,1,1,Pinus edulis,Pinyon Pine,Ambient,Watered,yes,6.76,231,5,9.3,422,NA,NA,alive,NA,NA,NA,NA,NA,NA,NA,NA,NA
PIED,PIED01,22.5,1,1,Pinus edulis,Pinyon Pine,Ambient,Watered,yes,6.76,231,5,9.3,NA,NA,25,alive,NA,NA,NA,NA,NA,NA,NA,NA,NA
PIED,PIED02,1,1,1,Pinus edulis,Pinyon Pine,Ambient,Drought,no,6.04,268,5,5.92,794,NA,10,alive,NA,NA,NA,NA,NA,NA,NA,NA,NA
PIED,PIED02,1.5,1,1,Pinus edulis,Pinyon Pine,Ambient,Drought,no,6.04,268,5,5.92,NA,NA,25,alive,NA,NA,NA,NA,NA,NA,NA,NA,NA
PIED,PIED02,2,1,1,Pinus edulis,Pinyon Pine,Ambient,Drought,no,6.04,268,5,5.92,763,NA,10,alive,NA,NA,NA,NA,NA,NA,NA,NA,NA
PIED,PIED02,2.5,1,1,Pinus edulis,Pinyon Pine,Ambient,Drought,no,6.04,268,5,5.92,NA,NA,10,alive,NA,NA,NA,NA,NA,NA,NA,NA,NA
PIED,PIED02,3,1,1,Pinus edulis,Pinyon Pine,Ambient,Drought,no,6.04,268,5,5.92,716,NA,10,alive,NA,NA,NA,NA,NA,NA,NA,NA,NA
PIED,PIED02,3.5,1,1,Pinus edulis,Pinyon Pine,Ambient,Drought,no,6.04,268,5,5.92,NA,NA,25,alive,NA,NA,NA,NA,NA,NA,NA,NA,NA
PIED,PIED02,4,1,1,Pinus edulis,Pinyon Pine,Ambient,Drought,no,6.04,268,5,5.92,643,NA,25,alive,NA,NA,NA,NA,NA,NA,NA,NA,NA
PIED,PIED02,4.5,1,1,Pinus edulis,Pinyon Pine,Ambient,Drought,no,6.04,268,5,5.92,NA,NA,25,alive,NA,NA,NA,NA,NA,NA,NA,NA,NA
PIED,PIED02,5,1,1,Pinus edulis,Pinyon Pine,Ambient,Drought,no,6.04,268,5,5.92,561,NA,25,alive,NA,NA,NA,NA,NA,NA,NA,NA,NA
PIED,PIED02,5.5,1,1,Pinus edulis,Pinyon Pine,Ambient,Drought,no,6.04,268,5,5.92,NA,NA,25,alive,NA,NA,NA,NA,NA,NA,NA,NA,NA
PIED,PIED02,6,1,1,Pinus edulis,Pinyon Pine,Ambient,Drought,no,6.04,268,5,5.92,524,NA,25,alive,NA,NA,NA,NA,NA,NA,NA,NA,NA
PIED,PIED02,6.5,1,1,Pinus edulis,Pinyon Pine,Ambient,Drought,no,6.04,268,5,5.92,NA,NA,25,alive,NA,NA,NA,NA,NA,NA,NA,NA,NA
PIED,PIED02,7,1,1,Pinus edulis,Pinyon Pine,Ambient,Drought,no,6.04,268,5,5.92,484,NA,25,alive,NA,NA,NA,NA,NA,NA,NA,NA,NA
PIED,PIED02,7.5,1,1,Pinus edulis,Pinyon Pine,Ambient,Drought,no,6.04,268,5,5.92,NA,NA,25,alive,NA,NA,NA,NA,NA,NA,NA,NA,NA
PIED,PIED02,8,1,1,Pinus edulis,Pinyon Pine,Ambient,Drought,no,6.04,268,5,5.92,459,NA,25,alive,NA,NA,NA,NA,NA,NA,NA,NA,NA
PIED,PIED02,8.5,1,1,Pinus edulis,Pinyon Pine,Ambient,Drought,no,6.04,268,5,5.92,NA,NA,25,alive,NA,NA,NA,NA,NA,NA,NA,NA,NA
PIED,PIED02,9,1,1,Pinus edulis,Pinyon Pine,Ambient,Drought,no,6.04,268,5,5.92,449,NA,25,alive,NA,NA,NA,NA,NA,NA,NA,NA,NA
PIED,PIED02,9.5,1,1,Pinus edulis,Pinyon Pine,Ambient,Drought,no,6.04,268,5,5.92,NA,NA,NA,alive,NA,NA,NA,NA,NA,NA,NA,NA,NA
PIED,PIED02,10,1,1,Pinus edulis,Pinyon Pine,Ambient,Drought,no,6.04,268,5,5.92,440,NA,25,alive,NA,NA,NA,NA,NA,NA,NA,NA,NA
PIED,PIED02,10.5,1,1,Pinus edulis,Pinyon Pine,Ambient,Drought,no,6.04,268,5,5.92,NA,NA,25,alive,NA,NA,NA,NA,NA,NA,NA,NA,NA
PIED,PIED02,11,1,1,Pinus edulis,Pinyon Pine,Ambient,Drought,no,6.04,268,5,5.92,430,NA,25,alive,NA,NA,NA,NA,NA,NA,NA,NA,NA
PIED,PIED02,11.5,1,1,Pinus edulis,Pinyon Pine,Ambient,Drought,no,6.04,268,5,5.92,NA,NA,25,alive,NA,NA,NA,NA,NA,NA,NA,NA,NA
PIED,PIED02,12,1,1,Pinus edulis,Pinyon Pine,Ambient,Drought,no,6.04,268,5,5.92,424,NA,25,alive,NA,NA,NA,NA,NA,NA,NA,NA,NA
PIED,PIED02,12.5,1,1,Pinus edulis,Pinyon Pine,Ambient,Drought,no,6.04,268,5,5.92,NA,NA,50,alive,NA,NA,NA,NA,NA,NA,NA,NA,NA
PIED,PIED02,13,1,1,Pinus edulis,Pinyon Pine,Ambient,Drought,no,6.04,268,5,5.92,420,NA,50,alive,NA,NA,NA,NA,NA,NA,NA,NA,NA
PIED,PIED02,13.5,1,1,Pinus edulis,Pinyon Pine,Ambient,Drought,no,6.04,268,5,5.92,NA,NA,50,alive,NA,NA,NA,NA,NA,NA,NA,NA,NA
PIED,PIED02,14,1,1,Pinus edulis,Pinyon Pine,Ambient,Drought,no,6.04,268,5,5.92,418,NA,50,alive,NA,NA,NA,NA,NA,NA,NA,NA,NA
PIED,PIED02,14.5,1,1,Pinus edulis,Pinyon Pine,Ambient,Drought,no,6.04,268,5,5.92,NA,NA,75,alive,NA,NA,NA,NA,NA,NA,NA,NA,NA
PIED,PIED02,15,1,1,Pinus edulis,Pinyon Pine,Ambient,Drought,no,6.04,268,5,5.92,418,NA,75,dead,NA,NA,NA,NA,NA,NA,NA,NA,NA
PIED,PIED02,15.5,1,1,Pinus edulis,Pinyon Pine,Ambient,Drought,no,6.04,268,5,5.92,NA,NA,90,dead,NA,NA,NA,NA,NA,NA,NA,NA,NA
PIED,PIED02,16,1,1,Pinus edulis,Pinyon Pine,Ambient,Drought,no,6.04,268,5,5.92,417,NA,90,dead,NA,NA,NA,NA,NA,NA,NA,NA,NA
PIED,PIED02,16.5,1,1,Pinus edulis,Pinyon Pine,Ambient,Drought,no,6.04,268,5,5.92,NA,NA,75,dead,NA,NA,NA,NA,NA,NA,NA,NA,NA
PIED,PIED02,17,1,1,Pinus edulis,Pinyon Pine,Ambient,Drought,no,6.04,268,5,5.92,416,NA,90,dead,NA,NA,NA,NA,NA,NA,NA,NA,NA
PIED,PIED02,17.5,1,1,Pinus edulis,Pinyon Pine,Ambient,Drought,no,6.04,268,5,5.92,NA,NA,NA,dead,NA,NA,NA,NA,NA,NA,NA,NA,NA
PIED,PIED02,18,1,1,Pinus edulis,Pinyon Pine,Ambient,Drought,no,6.04,268,5,5.92,NA,NA,NA,dead,NA,NA,NA,NA,NA,NA,NA,NA,NA
PIED,PIED02,18.5,1,1,Pinus edulis,Pinyon Pine,Ambient,Drought,no,6.04,268,5,5.92,NA,NA,NA,dead,NA,NA,NA,NA,NA,NA,NA,NA,NA
PIED,PIED02,19,1,1,Pinus edulis,Pinyon Pine,Ambient,Drought,no,6.04,268,5,5.92,NA,NA,NA,dead,NA,NA,NA,NA,NA,NA,NA,NA,NA
PIED,PIED02,19.5,1,1,Pinus edulis,Pinyon Pine,Ambient,Drought,no,6.04,268,5,5.92,NA,NA,NA,dead,NA,NA,NA,NA,NA,NA,NA,NA,NA
PIED,PIED02,20,1,1,Pinus edulis,Pinyon Pine,Ambient,Drought,no,6.04,268,5,5.92,NA,NA,NA,dead,NA,NA,NA,NA,NA,NA,NA,NA,NA
PIED,PIED02,20.5,1,1,Pinus edulis,Pinyon Pine,Ambient,Drought,no,6.04,268,5,5.92,NA,NA,NA,dead,NA,NA,NA,NA,NA,NA,NA,NA,NA
PIED,PIED02,21,1,1,Pinus edulis,Pinyon Pine,Ambient,Drought,no,6.04,268,5,5.92,NA,NA,NA,dead,NA,NA,NA,NA,NA,NA,NA,NA,NA
PIED,PIED02,21.5,1,1,Pinus edulis,Pinyon Pine,Ambient,Drought,no,6.04,268,5,5.92,NA,NA,NA,dead,NA,NA,NA,NA,NA,NA,NA,NA,NA
PIED,PIED02,22,1,1,Pinus edulis,Pinyon Pine,Ambient,Drought,no,6.04,268,5,5.92,NA,NA,NA,dead,NA,NA,NA,NA,NA,NA,NA,NA,NA
PIED,PIED02,22.5,1,1,Pinus edulis,Pinyon Pine,Ambient,Drought,no,6.04,268,5,5.92,NA,NA,NA,dead,NA,NA,NA,NA,NA,NA,NA,NA,NA
PIED,PIED03,1,1,1,Pinus edulis,Pinyon Pine,Ambient,Drought,yes,4.32,238,3,4.29,746,60.3,10,alive,LPS3038,2403003,2021-08-27 15:13:00,2021-08-27,1513,60.3,26.3,22.5,9.4
PIED,PIED03,1.5,1,1,Pinus edulis,Pinyon Pine,Ambient,Drought,yes,4.32,238,3,4.29,NA,NA,10,alive,NA,NA,NA,NA,NA,NA,NA,NA,NA
PIED,PIED03,2,1,1,Pinus edulis,Pinyon Pine,Ambient,Drought,yes,4.32,238,3,4.29,724,200.1,10,alive,LPS3038,2403704,2021-09-03 13:38:00,2021-09-03,1338,200.1,25,47.3,21.5
PIED,PIED03,2.5,1,1,Pinus edulis,Pinyon Pine,Ambient,Drought,yes,4.32,238,3,4.29,NA,NA,10,alive,NA,NA,NA,NA,NA,NA,NA,NA,NA
PIED,PIED03,3,1,1,Pinus edulis,Pinyon Pine,Ambient,Drought,yes,4.32,238,3,4.29,690,133.8,10,alive,LPS3038,2503002,2021-09-10 10:46:00,2021-09-10,1046,133.8,25.5,36.7,16.5
PIED,PIED03,3.5,1,1,Pinus edulis,Pinyon Pine,Ambient,Drought,yes,4.32,238,3,4.29,NA,NA,10,alive,NA,NA,NA,NA,NA,NA,NA,NA,NA
PIED,PIED03,4,1,1,Pinus edulis,Pinyon Pine,Ambient,Drought,yes,4.32,238,3,4.29,636,198,10,alive,LPS3038,2402902,2021-09-17 10:53:00,2021-09-17,1053,198,25.5,43.4,20.1
PIED,PIED03,4.5,1,1,Pinus edulis,Pinyon Pine,Ambient,Drought,yes,4.32,238,3,4.29,NA,NA,10,alive,NA,NA,NA,NA,NA,NA,NA,NA,NA
PIED,PIED03,5,1,1,Pinus edulis,Pinyon Pine,Ambient,Drought,yes,4.32,238,3,4.29,582,96.1,10,alive,LPS3038,2302801,2021-09-23 08:50:00,2021-09-23,0850,96.1,24.4,29.1,12.3
PIED,PIED03,5.5,1,1,Pinus edulis,Pinyon Pine,Ambient,Drought,yes,4.32,238,3,4.29,NA,NA,10,alive,NA,NA,NA,NA,NA,NA,NA,NA,NA
PIED,PIED03,6,1,1,Pinus edulis,Pinyon Pine,Ambient,Drought,yes,4.32,238,3,4.29,545,85.7,10,alive,LPS3038,2302602,2021-10-01 09:45:00,2021-10-01,0945,85.7,23.8,26.5,11.6
PIED,PIED03,6.5,1,1,Pinus edulis,Pinyon Pine,Ambient,Drought,yes,4.32,238,3,4.29,NA,NA,25,alive,NA,NA,NA,NA,NA,NA,NA,NA,NA
PIED,PIED03,7,1,1,Pinus edulis,Pinyon Pine,Ambient,Drought,yes,4.32,238,3,4.29,510,124,10,alive,LPS3038,2202301,2021-10-07 13:55:00,2021-10-07,1355,124,24.7,30.4,13.2
PIED,PIED03,7.5,1,1,Pinus edulis,Pinyon Pine,Ambient,Drought,yes,4.32,238,3,4.29,NA,NA,10,alive,NA,NA,NA,NA,NA,NA,NA,NA,NA
PIED,PIED03,8,1,1,Pinus edulis,Pinyon Pine,Ambient,Drought,yes,4.32,238,3,4.29,453,123.4,10,alive,LPS3038,2002202,2021-10-14 13:25:00,2021-10-14,1325,123.4,23,29.7,13
PIED,PIED03,8.5,1,1,Pinus edulis,Pinyon Pine,Ambient,Drought,yes,4.32,238,3,4.29,NA,NA,10,alive,NA,NA,NA,NA,NA,NA,NA,NA,NA
PIED,PIED03,9,1,1,Pinus edulis,Pinyon Pine,Ambient,Drought,yes,4.32,238,3,4.29,429,55,10,alive,LPS3038,2302500,2021-10-22 11:43:00,2021-10-22,1143,55,26.1,18.6,7.7
PIED,PIED03,9.5,1,1,Pinus edulis,Pinyon Pine,Ambient,Drought,yes,4.32,238,3,4.29,NA,NA,NA,alive,NA,NA,NA,NA,NA,NA,NA,NA,NA
PIED,PIED03,10,1,1,Pinus edulis,Pinyon Pine,Ambient,Drought,yes,4.32,238,3,4.29,410,59,10,alive,LPS3038,2102000,2021-10-29 11:42:00,2021-10-29,1142,59,23.6,16.5,6.6
PIED,PIED03,10.5,1,1,Pinus edulis,Pinyon Pine,Ambient,Drought,yes,4.32,238,3,4.29,NA,NA,10,alive,NA,NA,NA,NA,NA,NA,NA,NA,NA
PIED,PIED03,11,1,1,Pinus edulis,Pinyon Pine,Ambient,Drought,yes,4.32,238,3,4.29,398,54.9,10,alive,LPS3038,2102002,2021-11-04 10:49:00,2021-11-04,1049,54.9,23.3,15.7,6.4
PIED,PIED03,11.5,1,1,Pinus edulis,Pinyon Pine,Ambient,Drought,yes,4.32,238,3,4.29,NA,NA,10,alive,NA,NA,NA,NA,NA,NA,NA,NA,NA
PIED,PIED03,12,1,1,Pinus edulis,Pinyon Pine,Ambient,Drought,yes,4.32,238,3,4.29,389,66,25,alive,LPS3038,2102001,2021-11-12 10:52:00,2021-11-12,1052,66,22,18.3,7.6
PIED,PIED03,12.5,1,1,Pinus edulis,Pinyon Pine,Ambient,Drought,yes,4.32,238,3,4.29,NA,NA,25,alive,NA,NA,NA,NA,NA,NA,NA,NA,NA
PIED,PIED03,13,1,1,Pinus edulis,Pinyon Pine,Ambient,Drought,yes,4.32,238,3,4.29,379,51.1,10,alive,LPS3038,2002001,2021-11-18 09:39:00,2021-11-18,0939,51.1,20.6,14.7,5.7
PIED,PIED03,13.5,1,1,Pinus edulis,Pinyon Pine,Ambient,Drought,yes,4.32,238,3,4.29,NA,NA,25,alive,NA,NA,NA,NA,NA,NA,NA,NA,NA
PIED,PIED03,14,1,1,Pinus edulis,Pinyon Pine,Ambient,Drought,yes,4.32,238,3,4.29,374,68.9,25,alive,LPS3038,2002000,2021-11-23 15:45:00,2021-11-23,1545,68.9,22.2,18.8,7.8
PIED,PIED03,14.5,1,1,Pinus edulis,Pinyon Pine,Ambient,Drought,yes,4.32,238,3,4.29,NA,NA,25,alive,NA,NA,NA,NA,NA,NA,NA,NA,NA
PIED,PIED03,15,1,1,Pinus edulis,Pinyon Pine,Ambient,Drought,yes,4.32,238,3,4.29,372,64.3,75,dead,LPS3038,2102100,2021-12-02 09:06:00,2021-12-02,0906,64.3,21.9,18.1,7.2
PIED,PIED03,15.5,1,1,Pinus edulis,Pinyon Pine,Ambient,Drought,yes,4.32,238,3,4.29,NA,NA,50,dead,NA,NA,NA,NA,NA,NA,NA,NA,NA
PIED,PIED03,16,1,1,Pinus edulis,Pinyon Pine,Ambient,Drought,yes,4.32,238,3,4.29,370,57.8,50,dead,LPS3038,2002001,2021-12-09 12:53:00,2021-12-09,1253,57.8,20,16.2,6.4
PIED,PIED03,16.5,1,1,Pinus edulis,Pinyon Pine,Ambient,Drought,yes,4.32,238,3,4.29,NA,NA,50,dead,NA,NA,NA,NA,NA,NA,NA,NA,NA
PIED,PIED03,17,1,1,Pinus edulis,Pinyon Pine,Ambient,Drought,yes,4.32,238,3,4.29,369,101.4,75,dead,LPS3038,1802001,2021-12-16 15:16:00,2021-12-16,1516,101.4,19.1,25.6,11
PIED,PIED03,17.5,1,1,Pinus edulis,Pinyon Pine,Ambient,Drought,yes,4.32,238,3,4.29,NA,NA,50,dead,NA,NA,NA,NA,NA,NA,NA,NA,NA
PIED,PIED03,18,1,1,Pinus edulis,Pinyon Pine,Ambient,Drought,yes,4.32,238,3,4.29,NA,NA,NA,dead,NA,NA,NA,NA,NA,NA,NA,NA,NA
PIED,PIED03,18.5,1,1,Pinus edulis,Pinyon Pine,Ambient,Drought,yes,4.32,238,3,4.29,NA,NA,75,dead,NA,NA,NA,NA,NA,NA,NA,NA,NA
PIED,PIED03,19,1,1,Pinus edulis,Pinyon Pine,Ambient,Drought,yes,4.32,238,3,4.29,370,NA,75,dead,NA,NA,NA,NA,NA,NA,NA,NA,NA
PIED,PIED03,19.5,1,1,Pinus edulis,Pinyon Pine,Ambient,Drought,yes,4.32,238,3,4.29,NA,NA,75,dead,NA,NA,NA,NA,NA,NA,NA,NA,NA
PIED,PIED03,20,1,1,Pinus edulis,Pinyon Pine,Ambient,Drought,yes,4.32,238,3,4.29,368,NA,75,dead,NA,NA,NA,NA,NA,NA,NA,NA,NA
PIED,PIED03,20.5,1,1,Pinus edulis,Pinyon Pine,Ambient,Drought,yes,4.32,238,3,4.29,NA,NA,75,dead,NA,NA,NA,NA,NA,NA,NA,NA,NA
PIED,PIED03,21,1,1,Pinus edulis,Pinyon Pine,Ambient,Drought,yes,4.32,238,3,4.29,NA,NA,NA,dead,NA,NA,NA,NA,NA,NA,NA,NA,NA
PIED,PIED03,21.5,1,1,Pinus edulis,Pinyon Pine,Ambient,Drought,yes,4.32,238,3,4.29,NA,NA,NA,dead,NA,NA,NA,NA,NA,NA,NA,NA,NA
PIED,PIED03,22,1,1,Pinus edulis,Pinyon Pine,Ambient,Drought,yes,4.32,238,3,4.29,NA,NA,NA,dead,NA,NA,NA,NA,NA,NA,NA,NA,NA
PIED,PIED03,22.5,1,1,Pinus edulis,Pinyon Pine,Ambient,Drought,yes,4.32,238,3,4.29,NA,NA,NA,dead,NA,NA,NA,NA,NA,NA,NA,NA,NA
PIED,PIED04,1,1,1,Pinus edulis,Pinyon Pine,Ambient_HW,Drought,yes,6.33,262,4,5.73,798,232.4,25,alive,LPS3038,2403003,2021-08-27 15:24:00,2021-08-27,1524,232.4,26.3,44.7,18.7
PIED,PIED04,1.5,1,1,Pinus edulis,Pinyon Pine,Ambient_HW,Drought,yes,6.33,262,4,5.73,NA,NA,25,alive,NA,NA,NA,NA,NA,NA,NA,NA,NA
PIED,PIED04,2,1,1,Pinus edulis,Pinyon Pine,Ambient_HW,Drought,yes,6.33,262,4,5.73,753,344.1,10,alive,LPS3038,2403704,2021-09-03 14:36:00,2021-09-03,1436,344.1,25.2,56.2,26.3
PIED,PIED04,2.5,1,1,Pinus edulis,Pinyon Pine,Ambient_HW,Drought,yes,6.33,262,4,5.73,NA,NA,10,alive,NA,NA,NA,NA,NA,NA,NA,NA,NA
