SerialNumber,CalNum,DateTime,Date,Time,Week,Species,SpeciesID,Conductance,Temperature_C,LeafSensor_PercentRH,FilterSensor_PercentRH
LPS3038,2403003,2021-08-27 14:54:00,2021-08-27,1454,1,PIED,PIED26,120.9,26.2,35.2,16.1
LPS3038,2403003,2021-08-27 14:45:00,2021-08-27,1445,1,PIED,PIED27,92.7,26.3,31.6,15.1
LPS3038,2403003,2021-08-27 14:49:00,2021-08-27,1449,1,PIED,PIED28,169.6,26.2,39.9,17.1
LPS3038,2403003,2021-08-27 14:52:00,2021-08-27,1452,1,PIED,PIED29,95.5,26.2,30,12.7
LPS3038,2403003,2021-08-27 14:10:00,2021-08-27,1410,1,PIED,PIED30,110.6,26.2,33,14.5
LPS3038,2403003,2021-08-27 14:57:00,2021-08-27,1457,1,PIED,PIED31,110,26.2,34,15.8
LPS3038,2403003,2021-08-27 13:38:00,2021-08-27,1338,1,PIED,PIED32,223.6,26.1,44.5,19
LPS3038,2403003,2021-08-27 15:51:00,2021-08-27,1551,1,PIED,PIED33,219.5,26.4,46,21.6
LPS3038,2403003,2021-08-27 13:36:00,2021-08-27,1336,1,PIED,PIED34,96.4,25.9,31.7,14.8
LPS3038,2403003,2021-08-27 13:44:00,2021-08-27,1344,1,PIED,PIED35,189.2,26.2,42.9,19.5
LPS3038,2403003,2021-08-27 13:32:00,2021-08-27,1332,1,PIED,PIED36,122.1,25.7,35.6,16.4
LPS3038,2403003,2021-08-27 15:32:00,2021-08-27,1532,1,PIED,PIED37,112.5,26.3,33.3,14.5
LPS3038,2403003,2021-08-27 13:51:00,2021-08-27,1351,1,PIED,PIED38,149.5,26,39.4,18.4
LPS3038,2403003,2021-08-27 14:03:00,2021-08-27,1403,1,PIED,PIED39,133.7,25.7,35.9,15.4
LPS3038,2403003,2021-08-27 15:21:00,2021-08-27,1521,1,PIED,PIED40,85.9,26.3,29.1,13
LPS3038,2403003,2021-08-27 13:47:00,2021-08-27,1347,1,PIED,PIED41,54.3,26.1,22.2,10.1
LPS3038,2403003,2021-08-27 15:29:00,2021-08-27,1529,1,PIED,PIED42,223.1,26.3,46.1,21.4
LPS3038,2403003,2021-08-27 13:57:00,2021-08-27,1357,1,PIED,PIED43,191.5,25.6,42.3,18.5
LPS3038,2403003,2021-08-27 15:40:00,2021-08-27,1540,1,PIED,PIED44,143.4,26.3,37,15.8
LPS3038,2403003,2021-08-27 14:05:00,2021-08-27,1405,1,PIED,PIED45,84.3,25.7,28.3,12.3
LPS3038,2403003,2021-08-27 13:41:00,2021-08-27,1341,1,PIED,PIED46,176,26.1,42.2,19.6
LPS3038,2403003,2021-08-27 15:46:00,2021-08-27,1546,1,PIED,PIED47,184.7,26.3,43.1,20.2
LPS3038,2403003,2021-08-27 13:59:00,2021-08-27,1359,1,PIED,PIED48,180.6,25.7,43.5,21
LPS3038,2403003,2021-08-27 15:49:00,2021-08-27,1549,1,PIED,PIED49,73.4,26.3,27,12.4
LPS3038,2403003,2021-08-27 10:04:00,2021-08-27,1004,1,PIPO,PIPO01,140.6,26.2,38.6,18.3
LPS3038,2403003,2021-08-27 11:15:00,2021-08-27,1115,1,PIPO,PIPO02,85.4,26,29.5,13.5
LPS3038,2403003,2021-08-27 11:21:00,2021-08-27,1121,1,PIPO,PIPO03,66.1,26.1,25.3,11.6
LPS3038,2403003,2021-08-27 10:34:00,2021-08-27,1034,1,PIPO,PIPO04,88,26.7,30.1,14
LPS3038,2403003,2021-08-27 10:18:00,2021-08-27,1018,1,PIPO,PIPO05,95.5,26.7,32,15.2
LPS3038,2403003,2021-08-27 11:01:00,2021-08-27,1101,1,PIPO,PIPO06,73.9,26.9,27.8,13.3
LPS3038,2403003,2021-08-27 10:37:00,2021-08-27,1037,1,PIPO,PIPO07,178.2,26.7,42.4,19.8
LPS3038,2403003,2021-08-27 12:17:00,2021-08-27,1217,1,PIPO,PIPO08,114.6,26.6,35,16.5
LPS3038,2403003,2021-08-27 09:39:00,2021-08-27,0939,1,PIPO,PIPO09,93.6,25.6,30.9,14.1
LPS3038,2403003,2021-08-27 10:42:00,2021-08-27,1042,1,PIPO,PIPO10,67.9,26.8,25.7,11.7
LPS3038,2403003,2021-08-27 10:40:00,2021-08-27,1040,1,PIPO,PIPO11,214.6,26.7,45.7,21.5
LPS3038,2403003,2021-08-27 10:58:00,2021-08-27,1058,1,PIPO,PIPO12,199,26.8,44.6,21.2
LPS3038,2403003,2021-08-27 10:13:00,2021-08-27,1013,1,PIPO,PIPO13,50.9,26.7,21.5,10
LPS3038,2403003,2021-08-27 12:22:00,2021-08-27,1222,1,PIPO,PIPO14,88.9,27,30.8,14.7
LPS3038,2403003,2021-08-27 11:10:00,2021-08-27,1110,1,PIPO,PIPO15,69.8,25.9,26.2,12
LPS3038,2403003,2021-08-27 11:54:00,2021-08-27,1154,1,PIPO,PIPO16,169.7,25.9,41.5,19.3
LPS3038,2403003,2021-08-27 10:26:00,2021-08-27,1026,1,PIPO,PIPO17,174.7,26.5,42,19.6
LPS3038,2403003,2021-08-27 11:18:00,2021-08-27,1118,1,PIPO,PIPO18,111.5,26.2,34.2,15.8
LPS3038,2403003,2021-08-27 10:48:00,2021-08-27,1048,1,PIPO,PIPO19,81.3,27,28.9,13.5
LPS3038,2403003,2021-08-27 10:55:00,2021-08-27,1055,1,PIPO,PIPO20,98.6,26.9,32.5,15.5
LPS3038,2403003,2021-08-27 11:26:00,2021-08-27,1126,1,PIPO,PIPO21,403.3,26.2,55,25.2
LPS3038,2403003,2021-08-27 10:07:00,2021-08-27,1007,1,PIPO,PIPO22,67,26.2,25.6,11.8
LPS3038,2403003,2021-08-27 12:12:00,2021-08-27,1212,1,PIPO,PIPO23,149.5,26.2,39.6,18.7
LPS3038,2403003,2021-08-27 09:52:00,2021-08-27,0952,1,PIPO,PIPO24,263.1,25.8,48.6,22.3
LPS3038,2403003,2021-08-27 12:15:00,2021-08-27,1215,1,PIPO,PIPO25,87.6,26.4,30.5,14.6
LPS3038,2403003,2021-08-27 11:29:00,2021-08-27,1129,1,PIPO,PIPO26,123.7,26.2,34.5,14.8
LPS3038,2403003,2021-08-27 11:39:00,2021-08-27,1139,1,PIPO,PIPO27,134.1,26.4,37.1,17
LPS3038,2403003,2021-08-27 10:21:00,2021-08-27,1021,1,PIPO,PIPO28,375.9,26.8,54.1,25
LPS3038,2403003,2021-08-27 12:08:00,2021-08-27,1208,1,PIPO,PIPO29,115.8,26.1,35.4,16.9
LPS3038,2403003,2021-08-27 11:49:00,2021-08-27,1149,1,PIPO,PIPO30,62.4,25.7,24.6,11.5
LPS3038,2403003,2021-08-27 12:06:00,2021-08-27,1206,1,PIPO,PIPO31,134.2,26.1,37.6,17.6
LPS3038,2403003,2021-08-27 10:53:00,2021-08-27,1053,1,PIPO,PIPO32,175.1,26.9,42.4,20
LPS3038,2403003,2021-08-27 11:06:00,2021-08-27,1106,1,PIPO,PIPO33,86.4,26.2,29.8,13.8
LPS3038,2403003,2021-08-27 11:46:00,2021-08-27,1146,1,PIPO,PIPO34,70.7,25.7,26.3,12
LPS3038,2403003,2021-08-27 11:13:00,2021-08-27,1113,1,PIPO,PIPO35,125.2,26.1,35.7,16.2
LPS3038,2403003,2021-08-27 12:01:00,2021-08-27,1201,1,PIPO,PIPO36,91.4,25.9,31.2,14.8
LPS3038,2403003,2021-08-27 12:03:00,2021-08-27,1203,1,PIPO,PIPO37,69.3,26,26.6,12.6
LPS3038,2403003,2021-08-27 10:15:00,2021-08-27,1015,1,PIPO,PIPO38,103.3,26.8,33.1,15.6
LPS3038,2403003,2021-08-27 11:32:00,2021-08-27,1132,1,PIPO,PIPO39,154.1,26.2,38.2,16.4
LPS3038,2403003,2021-08-27 11:51:00,2021-08-27,1151,1,PIPO,PIPO40,147.2,25.8,38.8,17.8
LPS3038,2403003,2021-08-27 09:56:00,2021-08-27,0956,1,PIPO,PIPO41,78.3,26,27.8,12.6
LPS3038,2403003,2021-08-27 11:23:00,2021-08-27,1123,1,PIPO,PIPO42,100.9,26.3,32.1,14.5
LPS3038,2403003,2021-08-27 10:45:00,2021-08-27,1045,1,PIPO,PIPO43,158.8,27,40.3,18.7
LPS3038,2403003,2021-08-27 10:31:00,2021-08-27,1031,1,PIPO,PIPO44,170.2,26.7,41.5,19.3
LPS3038,2403003,2021-08-27 11:35:00,2021-08-27,1135,1,PIPO,PIPO45,142.5,26.2,38.5,17.9
LPS3038,2403003,2021-08-27 11:58:00,2021-08-27,1158,1,PIPO,PIPO46,154.6,25.8,40,18.7
LPS3038,2403003,2021-08-27 10:11:00,2021-08-27,1011,1,PIPO,PIPO47,76.2,26.4,27.9,13.1
LPS3038,2403003,2021-08-27 09:58:00,2021-08-27,0958,1,PIPO,PIPO48,113.8,26.2,34.2,15.5
LPS3038,2403003,2021-08-27 10:29:00,2021-08-27,1029,1,PIPO,PIPO49,58.3,26.4,23.2,10.6
LPS3038,2403003,2021-08-27 12:19:00,2021-08-27,1219,1,PIPO,PIPO50,127.9,26.9,37.1,17.7
LPS3038,2403704,2021-09-03 14:14:00,2021-09-03,1414,2,PIED,PIED01,162,25,44.2,20.5
LPS3038,2403704,2021-09-03 13:41:00,2021-09-03,1341,2,PIED,PIED02,204,25.2,47.3,21.1
LPS3038,2403704,2021-09-03 13:38:00,2021-09-03,1338,2,PIED,PIED03,200.1,25,47.3,21.5
LPS3038,2403704,2021-09-03 14:36:00,2021-09-03,1436,2,PIED,PIED04,344.1,25.2,56.2,26.3
LPS3038,2403704,2021-09-03 13:51:00,2021-09-03,1351,2,PIED,PIED05,155.4,25.3,43.2,19.7
LPS3038,2403704,2021-09-03 11:44:00,2021-09-03,1144,2,PIED,PIED06,228.9,25.2,49.8,22.9
LPS3038,2403704,2021-09-03 12:07:00,2021-09-03,1207,2,PIED,PIED07,137.1,25.1,40.8,18.4
LPS3038,2403704,2021-09-03 11:34:00,2021-09-03,1134,2,PIED,PIED08,135.1,24.6,41,18.8
LPS3038,2403704,2021-09-03 12:49:00,2021-09-03,1249,2,PIED,PIED09,92.4,23.8,34.4,15.7
LPS3038,2403704,2021-09-03 13:58:00,2021-09-03,1358,2,PIED,PIED10,220.3,25.3,49.1,22.5
LPS3038,2403704,2021-09-03 13:11:00,2021-09-03,1311,2,PIED,PIED11,123.1,25,39.3,17.9
LPS3038,2403704,2021-09-03 13:49:00,2021-09-03,1349,2,PIED,PIED12,277.9,25.2,53,24.6
LPS3038,2403704,2021-09-03 13:36:00,2021-09-03,1336,2,PIED,PIED13,161,24.8,44,20.2
LPS3038,2403704,2021-09-03 13:24:00,2021-09-03,1324,2,PIED,PIED14,253,24.6,51.4,23.7
LPS3038,2403704,2021-09-03 11:30:00,2021-09-03,1130,2,PIED,PIED15,391.3,24.5,57.8,26.7
LPS3038,2403704,2021-09-03 13:20:00,2021-09-03,1320,2,PIED,PIED16,331.1,24.3,55.5,25.8
LPS3038,2403704,2021-09-03 11:39:00,2021-09-03,1139,2,PIED,PIED17,132.1,25,40.5,18.5
LPS3038,2403704,2021-09-03 13:46:00,2021-09-03,1346,2,PIED,PIED18,245.1,25.2,51,23.6
LPS3038,2403704,2021-09-03 14:24:00,2021-09-03,1424,2,PIED,PIED19,227.3,24.9,49.2,22.2
LPS3038,2403704,2021-09-03 14:45:00,2021-09-03,1445,2,PIED,PIED20,222.7,25.3,49.6,23.1
LPS3038,2403704,2021-09-03 14:07:00,2021-09-03,1407,2,PIED,PIED21,120.4,25.3,38.7,17.5
LPS3038,2403704,2021-09-03 11:36:00,2021-09-03,1136,2,PIED,PIED22,217,24.8,49.4,23.2
LPS3038,2403704,2021-09-03 14:01:00,2021-09-03,1401,2,PIED,PIED23,231.4,25.2,49.8,22.7
LPS3038,2403704,2021-09-03 14:17:00,2021-09-03,1417,2,PIED,PIED24,207.5,24.9,48,21.9
LPS3038,2403704,2021-09-03 13:09:00,2021-09-03,1309,2,PIED,PIED25,87.6,25,32.9,14.6
LPS3038,2403704,2021-09-03 14:40:00,2021-09-03,1440,2,PIED,PIED26,179,25.2,46.1,21.5
LPS3038,2403704,2021-09-03 11:59:00,2021-09-03,1159,2,PIED,PIED27,114.6,25.2,37.8,17.1
LPS3038,2403704,2021-09-03 12:10:00,2021-09-03,1210,2,PIED,PIED28,237.8,25,50.6,23.6
LPS3038,2403704,2021-09-03 13:44:00,2021-09-03,1344,2,PIED,PIED29,330.1,25.2,55.4,25.7
LPS3038,2403704,2021-09-03 12:02:00,2021-09-03,1202,2,PIED,PIED30,183.1,25.2,46,21
LPS3038,2403704,2021-09-03 13:53:00,2021-09-03,1353,2,PIED,PIED31,109.2,25.4,37.3,17.1
LPS3038,2403704,2021-09-03 13:22:00,2021-09-03,1322,2,PIED,PIED32,210.2,24.4,48.6,22.5
LPS3038,2403704,2021-09-03 14:05:00,2021-09-03,1405,2,PIED,PIED33,218.9,25.3,49,22.5
LPS3038,2403704,2021-09-03 12:04:00,2021-09-03,1204,2,PIED,PIED34,106.4,25.2,36.6,16.5
LPS3038,2403704,2021-09-03 12:52:00,2021-09-03,1252,2,PIED,PIED35,188,24,46.9,21.9
LPS3038,2403704,2021-09-03 11:41:00,2021-09-03,1141,2,PIED,PIED36,372.8,25.1,57,26.3
LPS3038,2403704,2021-09-03 14:50:00,2021-09-03,1450,2,PIED,PIED37,177,25.4,44.9,20
LPS3038,2403704,2021-09-03 13:02:00,2021-09-03,1302,2,PIED,PIED38,181.3,24.6,46.3,21.5
LPS3038,2403704,2021-09-03 12:54:00,2021-09-03,1254,2,PIED,PIED39,98.9,24.2,35.6,16.4
LPS3038,2403704,2021-09-03 14:21:00,2021-09-03,1421,2,PIED,PIED40,383.6,24.9,57.4,26.5
LPS3038,2403704,2021-09-03 13:29:00,2021-09-03,1329,2,PIED,PIED41,73.8,25,30.4,13.8
LPS3038,2403704,2021-09-03 14:32:00,2021-09-03,1432,2,PIED,PIED42,277.6,25.3,52.3,23.6
LPS3038,2403704,2021-09-03 12:59:00,2021-09-03,1259,2,PIED,PIED43,218.6,24.4,49,22.4
LPS3038,2403704,2021-09-03 14:26:00,2021-09-03,1426,2,PIED,PIED44,172,24.9,44.9,20.4
LPS3038,2403704,2021-09-03 11:53:00,2021-09-03,1153,2,PIED,PIED45,105.8,25.3,36.3,16.3
LPS3038,2403704,2021-09-03 13:06:00,2021-09-03,1306,2,PIED,PIED46,110.5,24.8,37.6,17.3
LPS3038,2403704,2021-09-03 14:42:00,2021-09-03,1442,2,PIED,PIED47,180.2,25.2,45.8,21
LPS3038,2403704,2021-09-03 11:56:00,2021-09-03,1156,2,PIED,PIED48,254.7,25.3,51,23.1
LPS3038,2403704,2021-09-03 14:30:00,2021-09-03,1430,2,PIED,PIED49,207.9,25.1,48.1,21.9
LPS3038,2403704,2021-09-03 08:51:00,2021-09-03,0851,2,PIPO,PIPO01,218.4,24.1,48.6,21.8
LPS3038,2403704,2021-09-03 08:57:00,2021-09-03,0857,2,PIPO,PIPO02,105.5,24.3,36.3,16.3
LPS3038,2403704,2021-09-03 10:17:00,2021-09-03,1017,2,PIPO,PIPO03,70.3,24.9,29.3,13.1
LPS3038,2403704,2021-09-03 09:13:00,2021-09-03,0913,2,PIPO,PIPO04,205.3,24.8,47.8,21.7
LPS3038,2403704,2021-09-03 09:24:00,2021-09-03,0924,2,PIPO,PIPO05,54.7,24.9,25.2,11.2
LPS3038,2403704,2021-09-03 09:37:00,2021-09-03,0937,2,PIPO,PIPO06,75.7,24.8,30.7,13.8
LPS3038,2403704,2021-09-03 09:45:00,2021-09-03,0945,2,PIPO,PIPO07,158.9,25,43.4,19.7
LPS3038,2403704,2021-09-03 10:40:00,2021-09-03,1040,2,PIPO,PIPO08,225.4,24.9,49.2,22.3
LPS3038,2403704,2021-09-03 10:20:00,2021-09-03,1020,2,PIPO,PIPO09,116.7,25,37.8,16.7
LPS3038,2403704,2021-09-03 09:26:00,2021-09-03,0926,2,PIPO,PIPO10,90.9,24.9,34,15.5
LPS3038,2403704,2021-09-03 10:01:00,2021-09-03,1001,2,PIPO,PIPO11,95.6,25.4,34.8,15.8
LPS3038,2403704,2021-09-03 09:16:00,2021-09-03,0916,2,PIPO,PIPO12,225.3,24.9,48.9,21.9
LPS3038,2403704,2021-09-03 09:56:00,2021-09-03,0956,2,PIPO,PIPO13,71.1,25.2,29.6,13.4
LPS3038,2403704,2021-09-03 10:34:00,2021-09-03,1034,2,PIPO,PIPO14,162.7,25.1,43.6,19.4
LPS3038,2403704,2021-09-03 08:49:00,2021-09-03,0849,2,PIPO,PIPO15,111.1,24,37.3,16.8
LPS3038,2403704,2021-09-03 09:33:00,2021-09-03,0933,2,PIPO,PIPO16,253.2,24.9,51.4,23.8
LPS3038,2403704,2021-09-03 10:56:00,2021-09-03,1056,2,PIPO,PIPO17,93.4,25.3,34.1,15.2
LPS3038,2403704,2021-09-03 09:00:00,2021-09-03,0900,2,PIPO,PIPO18,118.1,24.4,38.5,17.5
LPS3038,2403704,2021-09-03 11:11:00,2021-09-03,1111,2,PIPO,PIPO19,177.1,25.6,45.1,20.3
LPS3038,2403704,2021-09-03 10:46:00,2021-09-03,1046,2,PIPO,PIPO20,108.8,25,37.1,16.9
LPS3038,2403704,2021-09-03 10:29:00,2021-09-03,1029,2,PIPO,PIPO21,440.9,24.9,58.8,26.5
LPS3038,2403704,2021-09-03 09:54:00,2021-09-03,0954,2,PIPO,PIPO22,68.1,25.2,29,13.1
LPS3038,2403704,2021-09-03 11:18:00,2021-09-03,1118,2,PIPO,PIPO23,178.4,25.7,45,20
LPS3038,2403704,2021-09-03 10:11:00,2021-09-03,1011,2,PIPO,PIPO24,303.8,25.1,53.8,24.5
LPS3038,2403704,2021-09-03 10:26:00,2021-09-03,1026,2,PIPO,PIPO25,119.9,24.9,38.5,17.3
LPS3038,2403704,2021-09-03 10:32:00,2021-09-03,1032,2,PIPO,PIPO26,117.5,25,38.5,17.6
LPS3038,2403704,2021-09-03 09:51:00,2021-09-03,0951,2,PIPO,PIPO27,207.1,25.1,48,21.9
LPS3038,2403704,2021-09-03 09:29:00,2021-09-03,0929,2,PIPO,PIPO28,293.1,24.9,53.4,24.3
LPS3038,2403704,2021-09-03 09:19:00,2021-09-03,0919,2,PIPO,PIPO29,103.5,24.9,36,16.2
LPS3038,2403704,2021-09-03 11:15:00,2021-09-03,1115,2,PIPO,PIPO30,109.6,25.6,36.8,16.4
LPS3038,2403704,2021-09-03 10:51:00,2021-09-03,1051,2,PIPO,PIPO31,114.9,25.2,37.8,17.1
LPS3038,2403704,2021-09-03 11:02:00,2021-09-03,1102,2,PIPO,PIPO32,198.8,25.5,47.1,21.2
LPS3038,2403704,2021-09-03 10:43:00,2021-09-03,1043,2,PIPO,PIPO33,94.1,24.9,34.3,15.3
LPS3038,2403704,2021-09-03 09:03:00,2021-09-03,0903,2,PIPO,PIPO34,133.7,24.5,40.2,17.8
LPS3038,2403704,2021-09-03 08:55:00,2021-09-03,0855,2,PIPO,PIPO35,184.7,24.3,46.2,21.1
LPS3038,2403704,2021-09-03 09:08:00,2021-09-03,0908,2,PIPO,PIPO36,88.9,24.6,33.3,14.9
LPS3038,2403704,2021-09-03 10:49:00,2021-09-03,1049,2,PIPO,PIPO37,97.3,25.1,34.7,15.4
LPS3038,2403704,2021-09-03 10:03:00,2021-09-03,1003,2,PIPO,PIPO38,93.4,25.4,33.9,15
LPS3038,2403704,2021-09-03 10:54:00,2021-09-03,1054,2,PIPO,PIPO39,129.1,25.2,39.8,17.9
LPS3038,2403704,2021-09-03 11:09:00,2021-09-03,1109,2,PIPO,PIPO40,194.9,25.5,46.6,20.8
LPS3038,2403704,2021-09-03 10:23:00,2021-09-03,1023,2,PIPO,PIPO41,115,25,37.5,16.6
LPS3038,2403704,2021-09-03 11:06:00,2021-09-03,1106,2,PIPO,PIPO42,187.9,25.5,46.2,20.9
LPS3038,2403704,2021-09-03 11:04:00,2021-09-03,1104,2,PIPO,PIPO43,179.5,25.5,45.4,20.4
LPS3038,2403704,2021-09-03 09:10:00,2021-09-03,0910,2,PIPO,PIPO44,196.2,24.7,46.7,20.9
LPS3038,2403704,2021-09-03 09:42:00,2021-09-03,0942,2,PIPO,PIPO45,143.4,24.8,42.2,19.5
LPS3038,2403704,2021-09-03 09:58:00,2021-09-03,0958,2,PIPO,PIPO46,122.5,25.3,38.6,17.1
LPS3038,2403704,2021-09-03 09:48:00,2021-09-03,0948,2,PIPO,PIPO47,146.2,25.1,42.5,19.7
LPS3038,2403704,2021-09-03 10:14:00,2021-09-03,1014,2,PIPO,PIPO48,200.9,25.1,47.3,21.4
LPS3038,2403704,2021-09-03 10:58:00,2021-09-03,1058,2,PIPO,PIPO49,69.5,25.4,29.1,13.1
LPS3038,2403704,2021-09-03 11:13:00,2021-09-03,1113,2,PIPO,PIPO50,217.3,25.6,48.1,21.3
LPS3038,2503002,2021-09-10 17:10:00,2021-09-10,1710,3,PIED,PIED01,229.3,25.8,46.1,20.9
LPS3038,2503002,2021-09-10 10:46:00,2021-09-10,1046,3,PIED,PIED03,133.8,25.5,36.7,16.5
LPS3038,2503002,2021-09-10 11:55:00,2021-09-10,1155,3,PIED,PIED04,369.1,24.7,53.3,23.9
LPS3038,2503002,2021-09-10 12:05:00,2021-09-10,1205,3,PIED,PIED06,175.3,25,41.2,18.3
LPS3038,2503002,2021-09-10 10:54:00,2021-09-10,1054,3,PIED,PIED07,128.1,25.4,35.9,16
LPS3038,2503002,2021-09-10 11:58:00,2021-09-10,1158,3,PIED,PIED10,249.8,24.8,47.2,21
LPS3038,2503002,2021-09-10 11:07:00,2021-09-10,1107,3,PIED,PIED12,262.8,25.2,48.2,21.7
LPS3038,2503002,2021-09-10 11:38:00,2021-09-10,1138,3,PIED,PIED13,196.6,24.4,43.5,19.6
LPS3038,2503002,2021-09-10 17:14:00,2021-09-10,1714,3,PIED,PIED15,127.6,26,36.4,16.7
LPS3038,2503002,2021-09-10 11:31:00,2021-09-10,1131,3,PIED,PIED16,342,24.4,52.1,23.2
LPS3038,2503002,2021-09-10 17:12:00,2021-09-10,1712,3,PIED,PIED17,102.8,25.9,32.1,14.4
LPS3038,2503002,2021-09-10 10:35:00,2021-09-10,1035,3,PIED,PIED22,248.9,25.8,47.2,21.3
LPS3038,2503002,2021-09-10 11:52:00,2021-09-10,1152,3,PIED,PIED23,293.1,24.7,49.9,22.4
LPS3038,2503002,2021-09-10 11:01:00,2021-09-10,1101,3,PIED,PIED28,209.7,25.2,44.2,19.6
LPS3038,2503002,2021-09-10 12:08:00,2021-09-10,1208,3,PIED,PIED30,253.7,25.2,47.4,21.1
LPS3038,2503002,2021-09-10 11:41:00,2021-09-10,1141,3,PIED,PIED31,149,24.5,38.7,17.4
LPS3038,2503002,2021-09-10 10:41:00,2021-09-10,1041,3,PIED,PIED32,183.4,25.7,42.1,18.8
LPS3038,2503002,2021-09-10 11:10:00,2021-09-10,1110,3,PIED,PIED33,227.3,25.2,45.7,20.4
LPS3038,2503002,2021-09-10 10:51:00,2021-09-10,1051,3,PIED,PIED34,134.6,25.4,36.8,16.5
LPS3038,2503002,2021-09-10 12:02:00,2021-09-10,1202,3,PIED,PIED35,288.8,24.9,49.4,21.9
LPS3038,2503002,2021-09-10 17:06:00,2021-09-10,1706,3,PIED,PIED36,309.1,25.7,51.1,23.5
LPS3038,2503002,2021-09-10 10:58:00,2021-09-10,1058,3,PIED,PIED38,190.4,25.3,42.6,19
LPS3038,2503002,2021-09-10 11:04:00,2021-09-10,1104,3,PIED,PIED39,99.1,25.2,31.6,14.2
LPS3038,2503002,2021-09-10 11:48:00,2021-09-10,1148,3,PIED,PIED43,177.9,24.6,41.8,18.9
LPS3038,2503002,2021-09-10 10:38:00,2021-09-10,1038,3,PIED,PIED46,223.2,25.8,45.4,20.4
LPS3038,2503002,2021-09-10 11:44:00,2021-09-10,1144,3,PIED,PIED48,339.7,24.6,52,23.2
LPS3038,2503002,2021-09-10 17:16:00,2021-09-10,1716,3,PIED,PIED49,94.8,26,31.1,14.2
LPS3038,2503002,2021-09-10 17:02:00,2021-09-10,1702,3,PIPO,PIPO01,244.3,25.6,47.5,21.9
LPS3038,2503002,2021-09-10 12:52:00,2021-09-10,1252,3,PIPO,PIPO02,110.5,25.4,31.6,12.6
LPS3038,2503002,2021-09-10 13:07:00,2021-09-10,1307,3,PIPO,PIPO04,282.4,25.4,49,21.7
LPS3038,2503002,2021-09-10 13:02:00,2021-09-10,1302,3,PIPO,PIPO05,99.6,25.4,31.7,14.3
LPS3038,2503002,2021-09-10 12:27:00,2021-09-10,1227,3,PIPO,PIPO08,247.4,25.4,47,21
