Chamber,Time,Temperature_C,WetBulb_C,PercentRH,Barometer_MB,Altitude_M,StationPressure_MB,WindSpeed_M/S,HeatIndex_C,DewPoint_C,DensityAltitude_M,WindChill_C
1,8/19/2021 14:30,24.1,23.3,93.8,928,734,928,0,26.1,23,1337,24
1,8/19/2021 15:00,23.4,22.5,93.4,927.5,737,927.5,0,25,22.2,1313,23.3
1,8/19/2021 15:30,23.1,22.1,92.2,927.4,739,927.4,0,24.5,21.8,1303,23
1,8/19/2021 16:00,22.9,22,92.9,927,740,927.1,0,24.3,21.7,1298,22.8
1,8/19/2021 16:30,22.6,21.6,91.8,927,741,927.1,0,23.8,21.2,1285,22.5
1,8/19/2021 17:00,22.5,21.4,91.1,926.7,744,926.8,0,23.8,21,1285,22.5
1,8/19/2021 17:30,22.3,21.3,92,926.7,744,926.8,0,23.4,20.9,1277,22.3
1,8/19/2021 18:00,21.6,20.6,91.6,926.5,746,926.6,0,22.6,20.2,1252,21.6
1,8/19/2021 18:30,21.4,20.3,91.2,926.5,746,926.5,0,22.3,19.9,1243,21.4
1,8/19/2021 19:00,21.4,20.3,91.1,926.5,746,926.5,0,22.2,19.8,1241,21.3
1,8/19/2021 19:30,20.9,19.8,90.8,926.7,745,926.7,0,21.6,19.3,1218,20.8
1,8/19/2021 20:00,20.5,19.5,91.3,927,742,927,0,21.3,19.1,1203,20.5
1,8/19/2021 20:30,20.1,19.1,91.8,927.2,740,927.2,0,20.7,18.7,1182,20
1,8/19/2021 21:00,19.8,18.7,91.1,927.5,738,927.5,0,20.4,18.3,1168,19.8
1,8/19/2021 21:30,19.3,18.3,90.9,927.7,736,927.7,0,19.8,17.8,1147,19.3
1,8/19/2021 22:00,19,18,90.8,927.5,736,927.6,0,19.5,17.5,1135,19
1,8/19/2021 22:30,18.7,17.7,91.5,927.7,736,927.7,0,19.1,17.3,1123,18.7
1,8/19/2021 23:00,18.4,17.6,91.7,927.9,734,927.9,0,18.8,17.1,1110,18.4
1,8/19/2021 23:30,18,17.2,92.3,928.2,732,928.2,0,18.4,16.8,1090,18
1,8/20/2021 0:00,17.5,16.7,92.4,928,732,928.1,0,17.9,16.3,1070,17.5
1,8/20/2021 0:30,17.6,16.8,92.3,928,732,928.1,0,18,16.4,1076,17.6
1,8/20/2021 1:00,17.6,16.8,92.9,928.2,732,928.2,0,17.9,16.4,1072,17.5
1,8/20/2021 1:30,17.7,16.8,92.3,928.2,732,928.1,0,18,16.4,1076,17.6
1,8/20/2021 2:00,17.7,16.8,92.4,927.7,734,927.8,0,18,16.4,1080,17.6
1,8/20/2021 2:30,15.1,14.5,94.5,927.7,734,927.8,0,15.4,14.2,979,15
1,8/20/2021 3:00,12.5,12.1,95,927.7,735,927.7,0,12.8,11.7,878,12.4
1,8/20/2021 3:30,11.6,11.2,95,927.7,735,927.8,0,11.9,10.8,842,11.6
1,8/20/2021 4:00,10.5,10.2,96.2,927.5,737,927.6,0,10.9,9.9,802,10.5
1,8/20/2021 4:30,9.6,9.2,95.2,927.5,737,927.5,0,9.9,8.9,766,9.6
1,8/20/2021 5:00,9.3,9,95.8,927.5,737,927.5,0,9.6,8.7,754,9.3
1,8/20/2021 5:30,8.2,7.8,95.3,927.5,737,927.5,0,8.3,7.5,711,8.2
1,8/20/2021 6:00,7.1,6.7,94.8,927.7,734,927.8,0,7.3,6.3,665,7.1
1,8/20/2021 6:30,7,6.5,93.5,927.9,734,927.9,0,7.1,6,658,7
1,8/20/2021 7:00,7.2,6.7,94.3,928.2,731,928.2,0,7.3,6.3,662,7.1
1,8/20/2021 7:30,9.1,8.7,95,928.5,728,928.5,0,9.3,8.3,736,9.1
1,8/20/2021 8:00,11.2,10.9,96.6,928.5,728,928.5,0,11.5,10.7,819,11.1
1,8/20/2021 8:30,11.7,11.3,95.4,928.7,727,928.7,0,11.9,10.9,834,11.6
1,8/20/2021 9:00,11.8,11.2,94.4,928.7,727,928.7,0,12.1,10.9,839,11.8
1,8/20/2021 9:30,13.7,13.3,95.6,928.7,726,928.8,0,14.1,13,915,13.7
1,8/20/2021 10:00,16.4,15.9,95.5,928.9,724,928.9,0,16.9,15.7,1021,16.4
1,8/20/2021 10:30,16.7,16.2,95.2,928.7,726,928.7,0,17.2,15.9,1034,16.7
1,8/20/2021 11:00,16.8,16.2,94.2,928.5,728,928.6,0,17.3,15.9,1040,16.8
1,8/20/2021 11:30,20.4,19.9,95.5,928.2,731,928.2,0,21.3,19.7,1190,20.4
1,8/20/2021 12:00,23.9,23.6,98,927.9,734,927.9,0,26,23.5,1336,23.8
1,8/20/2021 12:30,24.1,19.1,63.7,927.7,736,927.6,0,24.3,16.8,1308,24.1
1,8/20/2021 13:00,24.4,22.7,87.1,927,740,927.1,0,26.1,22.1,1353,24.4
1,8/20/2021 13:30,24.2,23.3,92.8,926.7,744,926.8,0,26.2,23,1356,24.2
1,8/20/2021 14:00,23.8,23.2,95.3,926.5,745,926.6,0,25.7,23,1343,23.7
1,8/20/2021 14:30,23.6,23.1,95.8,926.2,750,926.2,0,25.4,22.9,1340,23.5
1,8/20/2021 15:00,23.3,22.7,95.6,925.7,752,925.8,0,25,22.5,1332,23.2
1,8/20/2021 15:30,23,22.5,95.3,925.5,755,925.5,0,24.7,22.2,1326,23
1,8/20/2021 16:00,22.8,22.3,95.8,925.2,758,925.3,0,24.3,22.1,1317,22.7
1,8/20/2021 16:30,22.6,21.8,93.7,925,760,925,0,23.9,21.5,1310,22.5
1,8/20/2021 17:00,22.5,21.9,95.3,925,760,925,0,23.8,21.7,1307,22.4
1,8/20/2021 17:30,21.9,21.5,96.2,924.7,761,924.8,0,23.1,21.3,1290,21.9
1,8/20/2021 18:00,21.5,20.6,92,924.7,761,924.8,0,22.5,20.2,1268,21.5
1,8/20/2021 18:30,21.6,21.1,95.6,924.7,763,924.7,0,22.7,20.9,1278,21.6
1,8/20/2021 19:00,21.4,21,96.2,924.7,762,924.8,0,22.4,20.8,1268,21.4
1,8/20/2021 19:30,21.2,20.7,95.9,925,760,925,0,22.2,20.5,1257,21.2
1,8/20/2021 20:00,20.8,20.2,94.6,925,760,925,0,21.7,19.9,1241,20.8
1,8/20/2021 20:30,20.2,19.6,94.7,925.2,758,925.2,0,21,19.3,1214,20.2
1,8/20/2021 21:00,20,19.4,95.1,925.5,755,925.6,0,20.7,19.2,1200,19.9
1,8/20/2021 21:30,19.6,19,94.9,925.7,753,925.8,0,20.2,18.7,1182,19.5
1,8/20/2021 22:00,19.1,18.7,96.5,925.7,752,925.8,0,19.9,18.6,1165,19.1
1,8/20/2021 22:30,18.9,18.3,95.1,925.9,752,925.9,0,19.5,18.1,1154,18.9
1,8/20/2021 23:00,18.9,18.3,95.1,926,752,926,0,19.4,18.1,1151,18.8
1,8/20/2021 23:30,18.4,18,96.1,926,751,926,0,19.1,17.8,1134,18.4
1,8/21/2021 0:00,18.2,17.7,95.7,926,751,926,0,18.7,17.5,1123,18.1
1,8/21/2021 0:30,18.1,17.6,95.1,926,752,926,0,18.6,17.3,1120,18.1
1,8/21/2021 1:00,18,17.6,95.9,925.9,752,925.9,0,18.6,17.4,1119,18
1,8/21/2021 1:30,17.9,17.5,96.6,925.9,752,925.9,0,18.4,17.3,1114,17.8
1,8/21/2021 2:00,17.8,17.5,96.9,925.9,752,925.9,0,18.4,17.3,1111,17.8
1,8/21/2021 2:30,16.1,15.3,92.2,925.7,753,925.7,0,16.5,14.9,1043,16.1
1,8/21/2021 3:00,14,12.9,89.5,925.7,753,925.8,0,14.2,12.3,956,14
1,8/21/2021 3:30,12.7,11.7,90.5,925.7,753,925.8,0,12.8,11.1,902,12.6
1,8/21/2021 4:00,11.7,10.8,90.3,925.9,752,925.9,0,11.8,10.2,863,11.6
1,8/21/2021 4:30,10.6,9.8,91,926,752,926,0,10.7,9.2,819,10.5
1,8/21/2021 5:00,10.3,9.6,92.3,925.9,752,925.9,0,10.4,9.1,809,10.2
1,8/21/2021 5:30,9.3,8.5,90.9,926,752,926,0,9.4,7.9,768,9.2
1,8/21/2021 6:00,7.8,7.1,91.1,926.4,748,926.4,0,7.9,6.5,706,7.8
1,8/21/2021 6:30,7.4,6.8,91.5,926.5,746,926.5,0,7.5,6.2,691,7.4
1,8/21/2021 7:00,7.3,6.7,92,926.7,745,926.7,0,7.4,6.1,685,7.3
1,8/21/2021 7:30,8.8,8.5,95.9,926.9,742,926.9,0,9.1,8.2,743,8.8
1,8/21/2021 8:00,10.7,10.5,98,927,741,927,0,11.1,10.4,817,10.7
1,8/21/2021 8:30,11.2,10.9,97.1,927,741,927.1,0,11.5,10.7,834,11.1
1,8/21/2021 9:00,11.4,11.1,96.1,927,741,927.1,0,11.8,10.8,843,11.4
1,8/21/2021 9:30,13.1,12.9,98.3,927,741,927.1,0,13.5,12.8,909,13
1,8/21/2021 10:00,15.4,15,97.3,927.2,740,927.2,0,15.8,14.9,999,15.3
1,8/21/2021 10:30,16,15.9,98.7,927.2,740,927.2,0,16.5,15.8,1025,15.9
1,8/21/2021 11:00,16.3,16,96.8,927,741,927.1,0,16.8,15.8,1036,16.2
1,8/21/2021 11:30,19.2,18.8,96.3,926.9,743,926.9,0,19.9,18.6,1154,19.1
1,8/21/2021 12:00,22.6,22.3,97.7,926.4,747,926.4,0,24.1,22.2,1300,22.5
1,8/21/2021 12:30,23.7,22.9,93.8,926.2,750,926.1,0,25.5,22.6,1344,23.7
1,8/21/2021 13:00,23.7,22.9,93.6,925.9,752,925.9,0,25.4,22.6,1345,23.6
1,8/21/2021 13:30,23.6,23,94.9,925.5,754,925.6,0,25.5,22.8,1349,23.6
1,8/21/2021 14:00,23.4,23,96.7,925.2,758,925.3,0,25.3,22.9,1346,23.4
1,8/21/2021 14:30,23.5,23,96.1,924.9,760,924.9,0,25.3,22.8,1351,23.4
1,8/21/2021 15:00,23.2,22.7,96.6,924.5,763,924.6,0,25,22.6,1344,23.2
1,8/21/2021 15:30,22.9,22.6,97.7,924.2,767,924.2,0,24.6,22.5,1336,22.8
1,8/21/2021 16:00,22.6,22.2,97.2,923.9,770,923.9,0,24.2,22.1,1327,22.6
1,8/21/2021 16:30,22.5,22.1,96.4,923.5,773,923.6,0,23.9,21.9,1324,22.4
1,8/21/2021 17:00,22.4,22,97,923.4,774,923.4,0,23.9,21.9,1325,22.4
1,8/21/2021 17:30,22.1,21.7,96.6,923.2,775,923.3,0,23.4,21.5,1313,22.1
1,8/21/2021 18:00,21.6,21.2,95.9,923.2,776,923.2,0,22.7,20.9,1294,21.6
1,8/21/2021 18:30,21.5,21.1,97,923.5,773,923.5,0,22.4,21,1286,21.4
1,8/21/2021 19:00,21.2,20.9,97.4,923.7,772,923.7,0,22.2,20.8,1274,21.2
1,8/21/2021 19:30,21.1,20.7,96.7,923.7,771,923.8,0,22.1,20.5,1267,21.1
1,8/21/2021 20:00,20.8,20.4,96.3,924,768,924.1,0,21.7,20.2,1250,20.8
1,8/21/2021 20:30,20.3,19.9,96,924.2,767,924.2,0,21.2,19.7,1230,20.3
1,8/21/2021 21:00,20,19.5,95.8,924.5,763,924.6,0,20.8,19.3,1211,19.9
1,8/21/2021 21:30,19.6,19.1,95.5,924.7,761,924.8,0,20.4,18.9,1194,19.6
1,8/21/2021 22:00,19.5,19,95.9,924.7,761,924.8,0,20.2,18.8,1189,19.4
1,8/21/2021 22:30,19.1,18.7,96,924.7,761,924.8,0,19.9,18.5,1175,19.1
1,8/21/2021 23:00,18.8,18.3,95.6,925,758,925.1,0,19.4,18.1,1160,18.8
1,8/21/2021 23:30,18.8,18.2,94.7,925,760,925,0,19.4,17.9,1159,18.8
1,8/22/2021 0:00,18.3,17.8,95.8,925.5,755,925.5,0,19,17.6,1134,18.3
1,8/22/2021 0:30,18.1,17.6,95.9,925.7,753,925.8,0,18.6,17.4,1122,18
1,8/22/2021 1:00,18.2,17.7,95.5,925.5,754,925.6,0,18.6,17.4,1127,18.1
1,8/22/2021 1:30,18.2,17.7,95.9,925.5,754,925.6,0,18.7,17.5,1128,18.1
1,8/22/2021 2:00,18.2,17.7,95.5,925.7,754,925.7,0,18.6,17.5,1127,18.1
1,8/22/2021 2:30,16.3,15.5,91.6,925.5,754,925.6,0,16.6,14.9,1051,16.3
1,8/22/2021 3:00,14.1,13,89.2,925.7,753,925.7,0,14.3,12.3,960,14.1
1,8/22/2021 3:30,12.9,12,89.9,925.7,754,925.7,0,13.1,11.3,915,12.9
1,8/22/2021 4:00,11.8,10.9,90,926,752,926,0,12,10.3,868,11.8
1,8/22/2021 4:30,10.9,10,90.7,925.7,752,925.8,0,11,9.4,832,10.8
1,8/22/2021 5:00,10.6,9.9,92.2,925.7,752,925.8,0,10.7,9.4,822,10.5
1,8/22/2021 5:30,9.4,8.5,89.7,926,752,926,0,9.5,7.8,774,9.4
1,8/22/2021 6:00,8.2,7.4,89.8,926.2,749,926.2,0,8.3,6.7,724,8.2
1,8/22/2021 6:30,7.7,7,91.3,926.4,747,926.4,0,7.8,6.4,702,7.7
1,8/22/2021 7:00,7.6,6.9,91.7,926.5,746,926.6,0,7.6,6.3,695,7.5
1,8/22/2021 7:30,8.9,8.5,95.5,926.5,745,926.6,0,9.1,8.2,749,8.9
1,8/22/2021 8:00,10.8,10.6,97.7,926.7,744,926.7,0,11.1,10.4,822,10.7
1,8/22/2021 8:30,11.4,11.2,97.6,926.7,744,926.7,0,11.7,11,847,11.3
1,8/22/2021 9:00,11.6,11.2,96.4,926.9,743,926.9,0,11.9,11,850,11.5
1,8/22/2021 9:30,13.2,13,97.9,926.7,743,926.8,0,13.6,12.8,917,13.1
1,8/22/2021 10:00,15.5,15.3,98.1,926.9,742,926.9,0,16.1,15.2,1008,15.5
1,8/22/2021 10:30,16.3,16.1,98.4,926.7,743,926.8,0,16.9,16,1040,16.2
1,8/22/2021 11:00,16.5,16.2,97.3,926.7,743,926.8,0,17,16,1047,16.4
1,8/22/2021 11:30,19.4,18.9,95.8,926.5,745,926.6,0,20.2,18.7,1167,19.4
1,8/22/2021 12:00,23,22.6,96.2,926.2,750,926.2,0,24.7,22.4,1317,23
1,8/22/2021 12:30,23.8,23.2,94.9,925.9,752,925.9,0,25.8,22.9,1353,23.8
1,8/22/2021 13:00,24,23.3,94.5,925.5,755,925.6,0,25.9,23,1362,23.9
1,8/22/2021 13:30,23.7,23.3,96,925.2,757,925.3,0,25.7,23.1,1357,23.7
1,8/22/2021 14:00,23.5,23.1,97.4,925,760,925,0,25.3,23,1350,23.4
1,8/22/2021 14:30,23.4,23.1,97.2,924.7,762,924.7,0,25.3,22.9,1351,23.4
1,8/22/2021 15:00,23.4,23,96.9,924.4,765,924.4,0,25.2,22.8,1352,23.3
1,8/22/2021 15:30,23,22.8,97.9,924.2,767,924.3,0,24.9,22.7,1340,23
1,8/22/2021 16:00,22.8,22.4,97.1,924,767,924.1,0,24.3,22.3,1332,22.7
1,8/22/2021 16:30,22.6,22.1,96.1,923.9,769,923.9,0,24,21.9,1325,22.5
1,8/22/2021 17:00,22.3,22,97.7,923.7,770,923.8,0,23.8,21.9,1317,22.3
1,8/22/2021 17:30,21.9,21.6,97.5,923.9,770,923.9,0,23.1,21.5,1299,21.9
1,8/22/2021 18:00,21.6,21.3,96.8,923.7,771,923.7,0,22.7,21.1,1290,21.6
1,8/22/2021 18:30,21.3,21,97.4,923.7,770,923.8,0,22.2,20.9,1274,21.2
1,8/22/2021 19:00,21.2,20.9,97.4,924.2,767,924.2,0,22.2,20.8,1269,21.2
1,8/22/2021 19:30,21.1,20.7,96.4,924.5,765,924.5,0,22,20.5,1257,21
1,8/22/2021 20:00,20.6,20.1,95.8,924.7,762,924.8,0,21.4,19.9,1234,20.5
1,8/22/2021 20:30,20.1,19.7,96.2,925,758,925.1,0,20.9,19.4,1210,20
1,8/22/2021 21:00,20,19.5,95.4,925.4,757,925.4,0,20.8,19.2,1203,20
1,8/22/2021 21:30,19.6,19.1,95.9,925.5,756,925.5,0,20.4,18.9,1186,19.6
1,8/22/2021 22:00,19.4,18.8,95.3,925.7,753,925.7,0,20,18.6,1174,19.3
1,8/22/2021 22:30,19,18.5,95.5,925.9,752,925.9,0,19.7,18.3,1158,19
1,8/22/2021 23:00,18.8,18.2,94.7,926.2,749,926.2,0,19.4,17.9,1146,18.8
1,8/22/2021 23:30,18.3,17.8,95.7,926.4,747,926.4,0,18.7,17.6,1123,18.2
1,8/23/2021 0:00,18.2,17.7,95.1,926.5,746,926.5,0,18.6,17.4,1117,18.1
1,8/23/2021 0:30,18.2,17.6,94.5,926.2,748,926.3,0,18.6,17.3,1120,18.1
1,8/23/2021 1:00,18,17.6,95.3,926.5,746,926.6,0,18.5,17.3,1111,18
1,8/23/2021 1:30,17.9,17.4,96.2,926.2,748,926.3,0,18.4,17.2,1108,17.8
1,8/23/2021 2:00,17.9,17.4,96,926.2,749,926.2,0,18.4,17.2,1108,17.8
1,8/23/2021 2:30,16.1,15.2,91.4,926.2,749,926.3,0,16.4,14.7,1036,16.1
1,8/23/2021 3:00,13.8,12.7,89.4,926.4,747,926.4,0,14,12.1,942,13.8
1,8/23/2021 3:30,12.5,11.5,90.3,926.4,748,926.4,0,12.6,10.9,889,12.4
1,8/23/2021 4:00,11.7,10.8,90.4,926.7,744,926.8,0,11.8,10.2,853,11.6
1,8/23/2021 4:30,10.5,9.6,90.4,926.9,743,926.9,0,10.6,9,805,10.4
1,8/23/2021 5:00,10.1,9.4,92,927.2,740,927.3,0,10.3,8.9,787,10.1
1,8/23/2021 5:30,9.2,8.4,91.4,927.5,737,927.5,0,9.2,7.8,747,9.1
1,8/23/2021 6:00,8,7.2,90.3,927.9,734,927.9,0,8.1,6.5,698,8
1,8/23/2021 6:30,7.6,7,91.8,928.4,730,928.4,0,7.7,6.4,677,7.6
1,8/23/2021 7:00,7.4,6.8,92.5,928.7,727,928.7,0,7.6,6.3,666,7.4
1,8/23/2021 7:30,8.8,8.5,96.2,928.7,726,928.8,0,9,8.2,720,8.7
1,8/23/2021 8:00,10.5,10.4,98.5,929,724,929,0,10.9,10.3,787,10.5
1,8/23/2021 8:30,11.1,11,97.8,929.2,723,929.2,0,11.5,10.8,809,11.1
1,8/23/2021 9:00,11.4,11.1,96.6,929.2,722,929.3,0,11.8,10.9,819,11.4
1,8/23/2021 9:30,13.1,12.8,97.7,929.2,721,929.3,0,13.6,12.7,887,13.1
1,8/23/2021 10:00,15.1,14.9,98.7,929.7,718,929.6,0,15.7,14.9,963,15.1
1,8/23/2021 10:30,16.1,15.9,98.2,929.5,719,929.6,0,16.6,15.8,1001,16
1,8/23/2021 11:00,16.3,16,97.8,929.5,720,929.5,0,16.9,15.9,1010,16.2
1,8/23/2021 11:30,19.1,18.7,96.4,929.4,720,929.4,0,19.7,18.5,1123,19
1,8/23/2021 12:00,22.5,22.2,97.6,929,724,929.1,0,24.1,22.1,1266,22.5
1,8/23/2021 12:30,23.6,22.9,94.6,928.7,726,928.8,0,25.5,22.7,1312,23.6
1,8/23/2021 13:00,26.7,25.7,91.7,928.5,729,928.5,0,31.6,25.2,1439,26.7
1,8/23/2021 13:30,26.9,25.9,91.7,928.2,731,928.2,0,32.1,25.5,1452,26.9
1,8/23/2021 14:00,26.9,25.9,92.8,927.9,734,927.9,0,32,25.6,1454,26.9
1,8/23/2021 14:30,27,26.2,93.9,927.5,736,927.6,0,32.4,25.9,1463,26.9
1,8/23/2021 15:00,26.8,26.1,95,927.4,738,927.4,0,32.1,25.9,1458,26.7
1,8/23/2021 15:30,26.5,26.1,96.9,927,740,927.1,0,31.9,26,1454,26.5
1,8/23/2021 16:00,26.6,26.1,96.2,927,742,927,0,32,26,1458,26.6
1,8/23/2021 16:30,26.1,25.9,98.1,926.7,744,926.8,0,31,25.8,1442,26.1
1,8/23/2021 17:00,26.3,25.9,96.8,926.5,746,926.6,0,31.4,25.8,1450,26.3
1,8/23/2021 17:30,25.9,25.5,97.6,926.9,743,926.9,0,30.2,25.4,1430,25.8
1,8/23/2021 18:00,25.5,25.3,98.1,927.2,740,927.2,0,29.2,25.2,1410,25.4
1,8/23/2021 18:30,25.1,24.9,98.9,927.2,740,927.3,0,28.5,24.9,1396,25.1
1,8/23/2021 19:00,25.3,25.1,98.5,927.5,737,927.6,0,28.7,25,1397,25.2
1,8/23/2021 19:30,24.9,24.6,97.7,927.7,735,927.7,0,27.9,24.5,1381,24.9
1,8/23/2021 20:00,24.5,24.3,98.2,928,732,928,0,27.1,24.2,1361,24.5
1,8/23/2021 20:30,24.3,23.9,97.2,928.7,727,928.7,0,26.5,23.8,1342,24.2
1,8/23/2021 21:00,23.7,23.3,96.9,929.2,723,929.1,0,25.6,23.2,1314,23.6
1,8/23/2021 21:30,23.4,22.9,95.9,929.2,722,929.3,0,25.1,22.7,1298,23.3
1,8/23/2021 22:00,23.2,22.7,96.7,929.2,722,929.2,0,24.9,22.6,1292,23.1
1,8/23/2021 22:30,22.7,22.3,96.1,929.2,722,929.2,0,24.3,22.1,1273,22.7
1,8/23/2021 23:00,22.4,22,96.8,929,724,929.1,0,23.7,21.9,1261,22.3
1,8/23/2021 23:30,22.2,21.7,96,929,723,929.1,0,23.4,21.5,1250,22.1
1,8/24/2021 0:00,21.9,21.5,97.3,929.2,721,929.3,0,23,21.4,1237,21.8
1,8/24/2021 0:30,21.8,21.4,96.4,929.4,721,929.4,0,22.8,21.2,1231,21.7
1,8/24/2021 1:00,21.8,21.4,96.8,929.2,721,929.3,0,23,21.3,1236,21.8
1,8/24/2021 1:30,21.8,21.4,96.7,929.4,720,929.4,0,22.8,21.2,1233,21.7
1,8/24/2021 2:00,21.5,21.3,98,929.5,720,929.5,0,22.7,21.2,1222,21.5
1,8/24/2021 2:30,19.9,19.2,93,929.5,720,929.5,0,20.6,18.8,1153,19.9
1,8/24/2021 3:00,17.6,16.6,90.1,929.4,721,929.4,0,17.9,16,1060,17.6
1,8/24/2021 3:30,16.4,15.3,90.7,929.5,719,929.5,0,16.6,14.8,1008,16.3
1,8/24/2021 4:00,15.2,14.4,90.8,929.5,719,929.5,0,15.5,13.8,965,15.2
1,8/24/2021 4:30,14.3,13.5,92,929.7,717,929.7,0,14.5,13,925,14.2
1,8/24/2021 5:00,13.9,13.2,92.6,929.7,716,929.8,0,14.2,12.8,911,13.9
1,8/24/2021 5:30,12.9,12,90.7,930,715,930,0,13.1,11.4,866,12.9
1,8/24/2021 6:00,11.7,10.8,89.6,930.2,714,930.2,0,11.8,10.1,817,11.7
1,8/24/2021 6:30,11.2,10.5,92.4,930.5,711,930.5,0,11.4,10,793,11.1
1,8/24/2021 7:00,11.2,10.6,92.9,930.7,709,930.7,0,11.4,10.1,791,11.1
1,8/24/2021 7:30,12.3,12.1,97.1,930.7,707,930.8,0,12.7,11.9,839,12.3
1,8/24/2021 8:00,14.3,14.1,98,931,706,931.1,0,14.9,14,915,14.3
1,8/24/2021 8:30,15,14.7,97.6,931.2,704,931.2,0,15.5,14.6,940,14.9
1,8/24/2021 9:00,15.2,14.9,97.2,931.2,704,931.2,0,15.6,14.8,948,15.1
1,8/24/2021 9:30,16.8,16.6,97.8,931.4,703,931.4,0,17.5,16.4,1010,16.8
1,8/24/2021 10:00,19.1,18.9,98.5,931.2,703,931.3,0,19.8,18.8,1103,19
1,8/24/2021 10:30,19.7,19.5,97.7,931.2,704,931.3,0,20.6,19.4,1130,19.7
1,8/24/2021 11:00,19.9,19.6,97.7,931.2,704,931.2,0,20.7,19.5,1137,19.8
1,8/24/2021 11:30,22.6,22.2,97,930.9,706,930.9,0,24,22.1,1248,22.5
1,8/24/2021 12:00,25.9,25,92.9,930.5,710,930.5,0,29.8,24.7,1386,25.9
1,8/24/2021 12:30,27.1,25.9,91.9,930.2,714,930.2,0,32.3,25.6,1435,27
1,8/24/2021 13:00,27.2,26.3,92.9,929.7,716,929.8,0,33,26,1449,27.2
1,8/24/2021 13:30,27.1,26.3,94.5,929.5,719,929.6,0,32.7,26.1,1445,27
1,8/24/2021 14:00,27.2,26.4,94.4,929,724,929,0,33,26.2,1455,27.1
1,8/24/2021 14:30,26.9,26.4,96.3,928.7,727,928.7,0,32.6,26.2,1450,26.9
1,8/24/2021 15:00,26.8,26.3,96.6,928.2,731,928.3,0,32.3,26.2,1450,26.7
1,8/24/2021 15:30,26.5,26,95.6,927.9,734,927.9,0,31.7,25.8,1444,26.5
1,8/24/2021 16:00,26.1,25.9,97.8,927.5,737,927.6,0,31,25.8,1434,26.1
1,8/24/2021 16:30,26,25.2,94.4,927.5,737,927.6,0,30.3,25,1423,26
1,8/24/2021 17:00,25.9,25.5,96,927.5,737,927.6,0,30.2,25.3,1423,25.9
1,8/24/2021 17:30,25.7,25.2,96.5,927.5,736,927.6,0,29.8,25.1,1412,25.7
