Chamber,Kestrel,Date,Time,Temperature_C,WetBulb_C,PercentRH,Barometer_MB,Altitude_M,StationPressure_MB,WindSpeed_M/S,HeatIndex_C,DewPoint_C,DensityAltitude_M,WindChill_C,DateTime
1,1,2021-08-20,0000,18.4,17.4,91.2,927,741,927.1,0,18.8,16.9,1116,18.4,2021-08-20 00:00:00
1,1,2021-08-20,0030,18,17,91.5,927,741,927.1,0,18.3,16.6,1100,18,2021-08-20 00:30:00
1,1,2021-08-20,0100,17.8,16.8,91.5,927,741,927,0,18.1,16.4,1094,17.8,2021-08-20 01:00:00
1,1,2021-08-20,0130,17.9,17,92.2,927.2,740,927.1,0,18.3,16.6,1098,17.9,2021-08-20 01:30:00
1,1,2021-08-20,0200,17.8,16.9,91.8,927,741,927,0,18.1,16.5,1095,17.8,2021-08-20 02:00:00
1,1,2021-08-20,0230,18,17.1,92.7,926.7,743,926.8,0,18.3,16.8,1104,17.9,2021-08-20 02:30:00
1,1,2021-08-20,0300,16,14.8,88.9,926.7,743,926.8,0,16.1,14.2,1022,15.9,2021-08-20 03:00:00
1,1,2021-08-20,0330,13.5,12.4,88.3,926.7,744,926.8,0,13.7,11.6,924,13.5,2021-08-20 03:30:00
1,1,2021-08-20,0400,12.1,11.2,90.9,927,741,927,0,12.2,10.6,866,12,2021-08-20 04:00:00
1,1,2021-08-20,0430,10.7,10.4,91.2,926.9,742,926.9,0,10.8,9.3,832,10.6,2021-08-20 04:30:00
1,1,2021-08-20,0500,10.2,9.4,91.2,926.9,743,926.9,0,10.3,8.8,793,10.1,2021-08-20 05:00:00
1,1,2021-08-20,0530,9.9,9.3,92.6,926.7,743,926.8,0,10.1,8.8,785,9.9,2021-08-20 05:30:00
1,1,2021-08-20,0600,8.9,8,90.5,927,742,927,0,8.9,7.4,742,8.8,2021-08-20 06:00:00
1,1,2021-08-20,0630,7.7,6.9,90.5,927,740,927.1,0,7.8,6.3,695,7.7,2021-08-20 06:30:00
1,1,2021-08-20,0700,7.7,6.8,89,927.4,739,927.4,0,7.8,6,691,7.7,2021-08-20 07:00:00
1,1,2021-08-20,0730,7.8,7,89.8,927.7,736,927.7,0,7.9,6.2,691,7.8,2021-08-20 07:30:00
1,1,2021-08-20,0800,9.4,8.9,94.2,927.7,735,927.8,0,9.6,8.5,754,9.4,2021-08-20 08:00:00
1,1,2021-08-20,0830,11.6,11.2,96.2,927.9,734,927.9,0,12,11,841,11.6,2021-08-20 08:30:00
1,1,2021-08-20,0900,12.2,11.4,92,927.9,734,927.9,0,12.5,10.9,862,12.2,2021-08-20 09:00:00
1,1,2021-08-20,0930,12.3,11.4,90.9,927.9,734,927.9,0,12.4,10.8,864,12.2,2021-08-20 09:30:00
1,1,2021-08-20,1000,14.1,13.6,95.7,927.9,734,927.9,0,14.4,13.4,939,14,2021-08-20 10:00:00
1,1,2021-08-20,1030,16.5,16.1,97.3,927.9,734,927.9,0,17,16,1036,16.4,2021-08-20 10:30:00
1,1,2021-08-20,1100,17.1,16.4,93.4,927.7,736,927.7,0,17.5,16.1,1061,17.1,2021-08-20 11:00:00
1,1,2021-08-20,1130,17.1,16.2,91.5,927.5,738,927.5,0,17.4,15.7,1061,17.1,2021-08-20 11:30:00
1,1,2021-08-20,1200,20.3,20.2,99.5,927,741,927,0,21.3,20.3,1204,20.3,2021-08-20 12:00:00
1,1,2021-08-20,1230,23.5,23.5,100,926.5,747,926.5,0,25.7,23.5,1340,23.5,2021-08-20 12:30:00
1,1,2021-08-20,1300,24.1,18.8,62.4,926.2,749,926.2,0,24.1,16.4,1317,24,2021-08-20 13:00:00
1,1,2021-08-20,1330,24.6,22.8,86,925.7,754,925.7,0,26.2,22.1,1376,24.6,2021-08-20 13:30:00
1,1,2021-08-20,1400,24.4,23.3,93.7,925.2,758,925.3,0,26.4,23.3,1376,24.3,2021-08-20 14:00:00
1,1,2021-08-20,1430,24.4,23.5,93.7,925.2,758,925.1,0,26.4,23.3,1383,24.3,2021-08-20 14:30:00
1,1,2021-08-20,1500,24.1,23.4,94.5,924.7,762,924.8,0,26.2,23.2,1377,24.1,2021-08-20 15:00:00
1,1,2021-08-20,1530,23.7,22.9,94,924.2,766,924.3,0,25.5,22.7,1364,23.6,2021-08-20 15:30:00
1,1,2021-08-20,1600,23.5,22.7,94.4,924,767,924.1,0,25.2,22.5,1357,23.4,2021-08-20 16:00:00
1,1,2021-08-20,1630,23.3,22.6,94.9,924,768,924,0,24.9,22.4,1352,23.2,2021-08-20 16:30:00
1,1,2021-08-20,1700,22.7,21.8,93.3,923.7,771,923.8,0,24,21.5,1326,22.6,2021-08-20 17:00:00
1,1,2021-08-20,1730,22.8,22.1,95.1,923.7,771,923.7,0,24.3,21.9,1334,22.7,2021-08-20 17:30:00
1,1,2021-08-20,1800,22.4,21.8,94.4,923.5,774,923.5,0,23.8,21.5,1322,22.4,2021-08-20 18:00:00
1,1,2021-08-20,1830,21.6,20.5,90.8,923.5,773,923.5,0,22.6,20,1286,21.6,2021-08-20 18:30:00
1,1,2021-08-20,1900,21.8,21.3,96,923.4,775,923.4,0,22.8,21.1,1298,21.7,2021-08-20 19:00:00
1,1,2021-08-20,1930,21.9,21.4,95.5,923.5,774,923.5,0,23.1,21.2,1304,21.9,2021-08-20 19:30:00
1,1,2021-08-20,2000,21.4,20.9,96.1,923.5,772,923.6,0,22.3,20.7,1278,21.3,2021-08-20 20:00:00
1,1,2021-08-20,2030,21.1,20.5,95,923.7,770,923.8,0,22.1,20.3,1265,21.1,2021-08-20 20:30:00
1,1,2021-08-20,2100,20.3,19.6,94.1,924,767,924.1,0,21.2,19.3,1229,20.3,2021-08-20 21:00:00
1,1,2021-08-20,2130,19.9,19.3,95.2,924.2,766,924.3,0,20.7,19.1,1212,19.9,2021-08-20 21:30:00
1,1,2021-08-20,2200,19.8,19.1,94.4,924.5,763,924.6,0,20.6,18.9,1202,19.8,2021-08-20 22:00:00
1,1,2021-08-20,2230,19.7,19.1,95.5,924.5,763,924.6,0,20.5,19,1200,19.7,2021-08-20 22:30:00
1,1,2021-08-20,2300,19.3,18.6,94.4,924.7,762,924.7,0,19.9,18.4,1181,19.2,2021-08-20 23:00:00
1,1,2021-08-20,2330,18.8,18.3,96,924.7,761,924.8,0,19.5,18.1,1162,18.8,2021-08-20 23:30:00
1,1,2021-08-21,0000,18.7,18.2,95.9,924.9,761,924.9,0,19.4,18.1,1158,18.7,2021-08-21 00:00:00
1,1,2021-08-21,0030,18.4,17.9,95.9,925,760,925,0,19.1,17.7,1144,18.4,2021-08-21 00:30:00
1,1,2021-08-21,0100,18.1,17.6,96.1,924.9,760,924.9,0,18.6,17.4,1131,18,2021-08-21 01:00:00
1,1,2021-08-21,0130,18.3,17.8,96.2,924.9,761,924.9,0,18.8,17.6,1139,18.2,2021-08-21 01:30:00
1,1,2021-08-21,0200,18.3,17.9,96.2,924.7,761,924.8,0,19,17.7,1143,18.3,2021-08-21 02:00:00
1,1,2021-08-21,0230,18,17.6,96.6,924.9,761,924.9,0,18.6,17.4,1130,18,2021-08-21 02:30:00
1,1,2021-08-21,0300,15.9,14.9,91,924.7,761,924.8,0,16.2,14.5,1044,15.9,2021-08-21 03:00:00
1,1,2021-08-21,0330,13.4,12.4,89.9,924.7,761,924.9,0,13.5,11.8,942,13.3,2021-08-21 03:30:00
1,1,2021-08-21,0400,12.1,11.3,92.5,925,760,925,0,12.4,11,893,12.1,2021-08-21 04:00:00
1,1,2021-08-21,0430,11.2,10.5,92.5,925,758,925.1,0,11.4,10,853,11.1,2021-08-21 04:30:00
1,1,2021-08-21,0500,10.3,9.6,92.4,925.2,757,925.3,0,10.4,9.1,816,10.2,2021-08-21 05:00:00
1,1,2021-08-21,0530,10.1,9.5,94.4,925.2,757,925.3,0,10.4,9.2,810,10.1,2021-08-21 05:30:00
1,1,2021-08-21,0600,8.8,8.1,92.3,925.4,757,925.4,0,9,7.7,757,8.8,2021-08-21 06:00:00
1,1,2021-08-21,0630,7.6,6.9,91.7,925.7,752,925.8,0,7.6,6.3,705,7.6,2021-08-21 06:30:00
1,1,2021-08-21,0700,7.2,6.5,93.2,926,751,926.1,0,7.2,6.1,684,7.1,2021-08-21 07:00:00
1,1,2021-08-21,0730,7.1,6.5,93.7,926.2,750,926.2,0,7.2,6.2,683,7.1,2021-08-21 07:30:00
1,1,2021-08-21,0800,9.1,8.9,98.3,926.2,749,926.2,0,9.4,8.9,764,9.1,2021-08-21 08:00:00
1,1,2021-08-21,0830,11.2,11.1,99.5,926.2,749,926.3,0,11.7,11.1,846,11.2,2021-08-21 08:30:00
1,1,2021-08-21,0900,11.6,11.1,96.3,926.2,749,926.2,0,11.9,11,858,11.5,2021-08-21 09:00:00
1,1,2021-08-21,0930,11.6,11.2,96,926.4,748,926.4,0,12,11,858,11.6,2021-08-21 09:30:00
1,1,2021-08-21,1000,13.8,13.7,99.8,926.2,749,926.3,0,14.3,13.7,947,13.7,2021-08-21 10:00:00
1,1,2021-08-21,1030,16.3,16.1,97.3,926.2,750,926.2,0,16.9,15.9,1042,16.3,2021-08-21 10:30:00
1,1,2021-08-21,1100,16.6,16.2,97.3,926.2,750,926.2,0,17.1,16.1,1058,16.5,2021-08-21 11:00:00
1,1,2021-08-21,1130,18.4,16.2,100,925.7,753,925.8,0,19.3,18.4,1062,18.4,2021-08-21 11:30:00
1,1,2021-08-21,1200,20.2,20.2,100,925.5,754,925.6,0,21.2,20.2,1215,20.2,2021-08-21 12:00:00
1,1,2021-08-21,1230,24.2,23.5,95.2,925,760,925,0,26.4,23.4,1378,24.2,2021-08-21 12:30:00
1,1,2021-08-21,1300,24.7,23.3,89.3,924.5,763,924.6,0,26.5,22.8,1394,24.6,2021-08-21 13:00:00
1,1,2021-08-21,1330,24.3,23.1,90.9,924.4,765,924.4,0,26.1,22.7,1384,24.3,2021-08-21 13:30:00
1,1,2021-08-21,1400,24.2,23.2,91.8,924.2,767,924.3,0,26.2,22.8,1384,24.2,2021-08-21 14:00:00
1,1,2021-08-21,1430,24.1,23.3,94.1,923.7,770,923.8,0,26.2,23.1,1385,24.1,2021-08-21 14:30:00
1,1,2021-08-21,1500,23.8,23.1,94.8,923.5,773,923.6,0,25.6,22.9,1376,23.7,2021-08-21 15:00:00
1,1,2021-08-21,1530,23.3,22.7,95.9,923.2,777,923.2,0,25,22.6,1361,23.2,2021-08-21 15:30:00
1,1,2021-08-21,1600,23.4,22.9,96.2,922.7,780,922.8,0,25.3,22.8,1371,23.4,2021-08-21 16:00:00
1,1,2021-08-21,1630,23,22.4,95.5,922.5,782,922.6,0,24.7,22.3,1358,23,2021-08-21 16:30:00
1,1,2021-08-21,1700,22.4,21.9,96,922.2,784,922.3,0,23.8,21.8,1336,22.4,2021-08-21 17:00:00
1,1,2021-08-21,1730,22.7,22.3,96.6,922.2,786,922.2,0,24.3,22.1,1350,22.7,2021-08-21 17:30:00
1,1,2021-08-21,1800,22.2,21.7,95.9,922,786,922.1,0,23.6,21.5,1330,22.2,2021-08-21 18:00:00
1,1,2021-08-21,1830,21.5,21,95.8,922,786,922.1,0,22.6,20.8,1301,21.5,2021-08-21 18:30:00
1,1,2021-08-21,1900,21.8,21.3,97.1,922,786,922.1,0,22.8,21.3,1313,21.7,2021-08-21 19:00:00
1,1,2021-08-21,1930,21.7,21.2,96.9,922.2,784,922.3,0,22.7,21.1,1306,21.6,2021-08-21 19:30:00
1,1,2021-08-21,2000,21,20.7,96.9,922.5,782,922.6,0,22,20.5,1284,21,2021-08-21 20:00:00
1,1,2021-08-21,2030,20.9,20.5,96.9,922.7,780,922.8,0,21.9,20.4,1269,20.9,2021-08-21 20:30:00
1,1,2021-08-21,2100,20.2,19.9,96.5,923.2,776,923.2,0,21,19.6,1246,20.1,2021-08-21 21:00:00
1,1,2021-08-21,2130,19.9,19.5,96.5,923.4,774,923.4,0,20.8,19.4,1223,19.9,2021-08-21 21:30:00
1,1,2021-08-21,2200,19.7,19.2,96.2,923.5,773,923.6,0,20.4,19.1,1211,19.6,2021-08-21 22:00:00
1,1,2021-08-21,2230,19.4,19,97,923.7,772,923.7,0,20.2,18.9,1200,19.4,2021-08-21 22:30:00
1,1,2021-08-21,2300,19.1,18.7,96.6,923.7,771,923.8,0,19.9,18.6,1187,19.1,2021-08-21 23:00:00
1,1,2021-08-21,2330,19.1,18.5,95.8,923.9,770,923.9,0,19.7,18.4,1182,19,2021-08-21 23:30:00
1,1,2021-08-22,0000,18.9,18.4,96.1,923.9,769,923.9,0,19.6,18.3,1177,18.9,2021-08-22 00:00:00
1,1,2021-08-22,0030,18.4,18,96.5,924.4,766,924.4,0,19.1,17.9,1153,18.4,2021-08-22 00:30:00
1,1,2021-08-22,0100,18.2,17.7,96.4,924.5,764,924.6,0,18.7,17.6,1140,18.1,2021-08-22 01:00:00
1,1,2021-08-22,0130,18.3,17.8,96.2,924.5,764,924.5,0,19,17.7,1145,18.3,2021-08-22 01:30:00
1,1,2021-08-22,0200,18,17.7,97,924.5,765,924.5,0,18.6,17.5,1136,18,2021-08-22 02:00:00
1,1,2021-08-22,0230,18.3,17.9,96.5,924.7,763,924.6,0,19,17.8,1146,18.3,2021-08-22 02:30:00
1,1,2021-08-22,0300,16,15,91,924.7,763,924.7,0,16.2,14.5,1047,15.9,2021-08-22 03:00:00
1,1,2021-08-22,0330,13.4,12.4,90.1,924.9,760,924.9,0,13.5,11.8,941,13.3,2021-08-22 03:30:00
1,1,2021-08-22,0400,12.2,11.5,92.8,924.7,761,924.9,0,12.5,11.1,898,12.2,2021-08-22 04:00:00
1,1,2021-08-22,0430,11.2,10.5,92.7,925,760,925.1,0,11.5,10.1,855,11.2,2021-08-22 04:30:00
1,1,2021-08-22,0500,10.3,9.7,93.5,925,760,925.1,0,10.5,9.3,820,10.3,2021-08-22 05:00:00
1,1,2021-08-22,0530,9.4,9.7,92.1,925.2,758,925.2,0,9.6,8.2,815,9.4,2021-08-22 05:30:00
1,1,2021-08-22,0600,8.7,8.1,92.1,925.2,757,925.3,0,8.9,7.5,754,8.7,2021-08-22 06:00:00
1,1,2021-08-22,0630,7.4,6.9,94.1,925.7,754,925.7,0,7.6,6.5,705,7.4,2021-08-22 06:30:00
1,1,2021-08-22,0700,7.3,6.7,94.1,925.7,752,925.8,0,7.4,6.4,692,7.2,2021-08-22 07:00:00
1,1,2021-08-22,0730,7.2,6.6,94.1,926,752,926,0,7.3,6.3,686,7.1,2021-08-22 07:30:00
1,1,2021-08-22,0800,9,8.9,98.3,926,751,926.1,0,9.3,8.8,760,9,2021-08-22 08:00:00
1,1,2021-08-22,0830,11.2,11.2,99.8,925.9,752,925.9,0,11.7,11.2,852,11.2,2021-08-22 08:30:00
1,1,2021-08-22,0900,11.7,11.4,97.3,925.9,752,925.9,0,12.1,11.3,868,11.7,2021-08-22 09:00:00
1,1,2021-08-22,0930,11.7,11.3,96.5,926,752,926,0,12,11.1,865,11.6,2021-08-22 09:30:00
1,1,2021-08-22,1000,13.8,13.7,99.6,925.9,752,925.9,0,14.3,13.7,952,13.7,2021-08-22 10:00:00
1,1,2021-08-22,1030,16.3,16.3,100,926,752,926,0,17.1,16.3,1053,16.3,2021-08-22 10:30:00
1,1,2021-08-22,1100,16.9,16.6,97.7,925.7,752,925.8,0,17.6,16.6,1077,16.9,2021-08-22 11:00:00
1,1,2021-08-22,1130,16.8,16.4,96.8,925.7,753,925.8,0,17.3,16.3,1071,16.7,2021-08-22 11:30:00
1,1,2021-08-22,1200,20.4,20.3,100,925.2,757,925.3,0,21.3,20.4,1224,20.3,2021-08-22 12:00:00
1,1,2021-08-22,1230,24.5,23.9,96.3,924.7,763,924.6,0,26.8,23.9,1395,24.4,2021-08-22 12:30:00
1,1,2021-08-22,1300,24.9,23.7,90.6,924.2,766,924.3,0,27.2,23.3,1411,24.9,2021-08-22 13:00:00
1,1,2021-08-22,1330,24.6,23.4,90.8,924.2,767,924.1,0,26.6,23,1400,24.6,2021-08-22 13:30:00
1,1,2021-08-22,1400,24.3,23.3,92.9,924,769,924,0,26.4,23.1,1391,24.3,2021-08-22 14:00:00
1,1,2021-08-22,1430,24.2,23.5,94.7,923.5,774,923.5,0,26.3,23.3,1396,24.2,2021-08-22 14:30:00
1,1,2021-08-22,1500,23.7,23.4,96.4,923,777,923.1,0,25.8,23.1,1390,23.7,2021-08-22 15:00:00
1,1,2021-08-22,1530,23.5,23,96.4,923,778,923,0,25.3,22.9,1372,23.4,2021-08-22 15:30:00
1,1,2021-08-22,1600,23.3,23,96.3,922.7,780,922.8,0,25.2,22.7,1377,23.3,2021-08-22 16:00:00
1,1,2021-08-22,1630,23.1,22.6,96.3,922.7,781,922.7,0,24.9,22.5,1360,23.1,2021-08-22 16:30:00
1,1,2021-08-22,1700,22.8,22.2,95.7,922.5,781,922.6,0,24.4,22.1,1349,22.8,2021-08-22 17:00:00
1,1,2021-08-22,1730,22.8,22.4,96.8,922.5,783,922.5,0,24.5,22.3,1351,22.8,2021-08-22 17:30:00
1,1,2021-08-22,1800,22.4,21.8,95.9,922.5,782,922.5,0,23.7,21.7,1332,22.3,2021-08-22 18:00:00
1,1,2021-08-22,1830,22,21.4,96.2,922.4,783,922.4,0,23.1,21.4,1317,21.9,2021-08-22 18:30:00
1,1,2021-08-22,1900,21.6,21.2,96.7,922.5,782,922.5,0,22.7,21.1,1303,21.6,2021-08-22 19:00:00
1,1,2021-08-22,1930,21.6,21.2,96.9,922.7,780,922.8,0,22.7,21.1,1298,21.6,2021-08-22 19:30:00
1,1,2021-08-22,2000,21.3,20.8,96.3,923.2,776,923.3,0,22.2,20.7,1278,21.2,2021-08-22 20:00:00
1,1,2021-08-22,2030,20.8,20.2,95.2,923.5,773,923.6,0,21.7,20,1255,20.8,2021-08-22 20:30:00
1,1,2021-08-22,2100,20.5,19.8,95,923.9,770,923.9,0,21.3,19.7,1238,20.4,2021-08-22 21:00:00
1,1,2021-08-22,2130,20,19.5,95.8,924.2,767,924.2,0,20.9,19.3,1217,20,2021-08-22 21:30:00
1,1,2021-08-22,2200,19.8,19.4,96.3,924.2,767,924.2,0,20.6,19.2,1209,19.8,2021-08-22 22:00:00
1,1,2021-08-22,2230,19.3,18.8,96.2,924.5,764,924.6,0,20,18.7,1184,19.3,2021-08-22 22:30:00
1,1,2021-08-22,2300,19,18.5,96.4,924.7,761,924.8,0,19.6,18.4,1168,18.9,2021-08-22 23:00:00
1,1,2021-08-22,2330,18.8,18.2,95.6,925,760,925.1,0,19.3,18.1,1158,18.7,2021-08-22 23:30:00
1,1,2021-08-23,0000,18.5,18,95.4,925.2,757,925.4,0,19.1,17.8,1143,18.5,2021-08-23 00:00:00
1,1,2021-08-23,0030,18.2,17.7,96,925.4,757,925.4,0,18.7,17.5,1131,18.1,2021-08-23 00:30:00
1,1,2021-08-23,0100,18.2,17.7,96.2,925.2,758,925.2,0,18.7,17.6,1132,18.1,2021-08-23 01:00:00
1,1,2021-08-23,0130,18,17.6,96.7,925.4,757,925.4,0,18.6,17.5,1123,18,2021-08-23 01:30:00
1,1,2021-08-23,0200,18,17.6,96.7,925.2,757,925.3,0,18.6,17.5,1125,18,2021-08-23 02:00:00
1,1,2021-08-23,0230,17.8,17.4,96.8,925.2,758,925.2,0,18.4,17.3,1118,17.8,2021-08-23 02:30:00
1,1,2021-08-23,0300,15.7,14.7,91.2,925.4,756,925.4,0,15.9,14.2,1025,15.6,2021-08-23 03:00:00
1,1,2021-08-23,0330,13.1,12.2,89.8,925.5,755,925.6,0,13.3,11.5,923,13.1,2021-08-23 03:30:00
1,1,2021-08-23,0400,12,11.3,92.7,925.5,754,925.6,0,12.2,10.8,880,11.9,2021-08-23 04:00:00
1,1,2021-08-23,0430,11.1,10.5,93,926,752,926,0,11.4,10,840,11.1,2021-08-23 04:30:00
1,1,2021-08-23,0500,10.1,9.3,92.1,926.2,750,926.2,0,10.2,8.8,797,10,2021-08-23 05:00:00
1,1,2021-08-23,0530,9.8,9.3,94.4,926.5,746,926.6,0,10.1,9,784,9.8,2021-08-23 05:30:00
1,1,2021-08-23,0600,8.8,8.1,92.8,926.7,744,926.8,0,8.9,7.7,740,8.7,2021-08-23 06:00:00
1,1,2021-08-23,0630,7.4,6.8,92.4,927.2,740,927.3,0,7.6,6.3,681,7.4,2021-08-23 06:30:00
1,1,2021-08-23,0700,7.2,6.7,94.2,927.7,734,927.8,0,7.4,6.4,670,7.2,2021-08-23 07:00:00
1,1,2021-08-23,0730,7.3,6.7,94.2,928,732,928.1,0,7.4,6.4,666,7.2,2021-08-23 07:30:00
1,1,2021-08-23,0800,9,8.9,98.5,928.2,731,928.2,0,9.3,8.8,738,9,2021-08-23 08:00:00
1,1,2021-08-23,0830,11.2,11.1,99.5,928.2,731,928.2,0,11.7,11.2,826,11.2,2021-08-23 08:30:00
1,1,2021-08-23,0900,11.7,11.3,96.8,928.2,730,928.3,0,12,11.2,839,11.6,2021-08-23 09:00:00
1,1,2021-08-23,0930,11.7,11.3,96.2,928.5,729,928.5,0,12.1,11.1,839,11.7,2021-08-23 09:30:00
1,1,2021-08-23,1000,13.9,13.9,99.8,928.4,730,928.4,0,14.5,13.9,931,13.9,2021-08-23 10:00:00
1,1,2021-08-23,1030,16.1,16,100,928.5,728,928.5,0,16.7,16.1,1014,16,2021-08-23 10:30:00
1,1,2021-08-23,1100,16.7,16.3,96.9,928.5,728,928.6,0,17.2,16.2,1033,16.6,2021-08-23 11:00:00
