Week,Chamber,Species,Variable,Date
4,2,PSME,Photos,2021-09-30
6,1,PIPO,PercentBrown,2021-09-30
6,1,PIED,PercentBrown,2021-09-30
6,1,PIPO,Weight,2021-09-30
6,1,PIED,Weight,2021-09-30
6,1,PIPO,Photos,2021-09-30
6,1,PIED,Photos,2021-09-30
1,3,PIEN,Porometer,2021-10-01
4,2,PIFL,Porometer,2021-10-01
4,2,PSME,Porometer,2021-10-01
6,1,PIPO,Porometer,2021-10-01
6,1,PIED,Porometer,2021-10-01
1.5,3,PIEN,PercentBrown,2021-10-04
4.5,2,PIFL,PercentBrown,2021-10-04
4.5,2,PSME,PercentBrown,2021-10-04
6.5,1,PIPO,PercentBrown,2021-10-04
6.5,1,PIED,PercentBrown,2021-10-04
2,3,PIEN,PercentBrown,2021-10-07
2,3,PIEN,Weight,2021-10-07
2,3,PIEN,Photos,2021-10-07
5,2,PIFL,PercentBrown,2021-10-07
5,2,PIFL,Weight,2021-10-07
5,2,PSME,PercentBrown,2021-10-07
5,2,PSME,Weight,2021-10-07
5,2,PIFL,Photos,2021-10-07
5,2,PSME,Photos,2021-10-07
7,1,PIPO,PercentBrown,2021-10-07
7,1,PIED,PercentBrown,2021-10-07
7,1,PIPO,Weight,2021-10-07
7,1,PIED,Weight,2021-10-07
7,1,PIPO,Photos,2021-10-07
7,1,PIED,Photos,2021-10-07
2,3,PIEN,Porometer,2021-10-08
5,2,PIFL,Porometer,2021-10-08
5,2,PSME,Porometer,2021-10-08
7,1,PIPO,Porometer,2021-10-07
7,1,PIED,Porometer,2021-10-07
2.5,3,PIEN,PercentBrown,2021-10-11
5.5,2,PIFL,PercentBrown,2021-10-11
5.5,2,PSME,PercentBrown,2021-10-11
7.5,1,PIPO,PercentBrown,2021-10-11
7.5,1,PIED,PercentBrown,2021-10-11
3,3,PIEN,Porometer,2021-10-14
6,2,PIFL,Porometer,2021-10-14
6,2,PSME,Porometer,2021-10-14
8,1,PIPO,Porometer,2021-10-14
8,1,PIED,Porometer,2021-10-14
3,3,PIEN,PercentBrown,2021-10-15
3,3,PIEN,Weight,2021-10-15
3,3,PIEN,Photos,2021-10-15
6,2,PIFL,PercentBrown,2021-10-15
6,2,PIFL,Weight,2021-10-15
6,2,PSME,PercentBrown,2021-10-15
6,2,PSME,Weight,2021-10-15
6,2,PIFL,Photos,2021-10-15
6,2,PSME,Photos,2021-10-15
8,1,PIPO,PercentBrown,2021-10-15
8,1,PIED,PercentBrown,2021-10-15
8,1,PIPO,Weight,2021-10-15
8,1,PIED,Weight,2021-10-15
8,1,PIPO,Photos,2021-10-15
8,1,PIED,Photos,2021-10-15
3.5,3,PIEN,PercentBrown,2021-10-18
6.5,2,PIFL,PercentBrown,2021-10-18
6.5,2,PSME,PercentBrown,2021-10-18
8.5,1,PIPO,PercentBrown,2021-10-18
8.5,1,PIED,PercentBrown,2021-10-18
4,3,PIEN,PercentBrown,2021-10-21
4,3,PIEN,Weight,2021-10-21
4,3,PIEN,Photos,2021-10-21
7,2,PIFL,PercentBrown,2021-10-21
7,2,PIFL,Weight,2021-10-21
7,2,PSME,PercentBrown,2021-10-21
7,2,PSME,Weight,2021-10-21
7,2,PIFL,Photos,2021-10-21
7,2,PSME,Photos,2021-10-21
9,1,PIPO,PercentBrown,2021-10-21
9,1,PIED,PercentBrown,2021-10-21
9,1,PIPO,Weight,2021-10-21
9,1,PIED,Weight,2021-10-21
9,1,PIPO,Photos,2021-10-21
9,1,PIED,Photos,2021-10-21
4,3,PIEN,Porometer,2021-10-22
7,2,PIFL,Porometer,2021-10-21
7,2,PSME,Porometer,2021-10-21
9,1,PIPO,Porometer,2021-10-22
9,1,PIED,Porometer,2021-10-22
4.5,3,PIEN,PercentBrown,2021-10-25
7.5,2,PIFL,PercentBrown,2021-10-25
7.5,2,PSME,PercentBrown,2021-10-25
9.5,1,PIPO,PercentBrown,2021-10-25
9.5,1,PIED,PercentBrown,2021-10-25
5,3,PIEN,PercentBrown,2021-10-29
5,3,PIEN,Weight,2021-10-29
5,3,PIEN,Porometer,2021-10-28
5,3,PIEN,Photos,2021-10-29
8,2,PIFL,PercentBrown,2021-10-29
8,2,PIFL,Weight,2021-10-29
8,2,PIFL,Porometer,2021-10-28
8,2,PSME,PercentBrown,2021-10-29
8,2,PSME,Weight,2021-10-29
8,2,PSME,Porometer,2021-10-28
8,2,PIFL,Photos,2021-10-29
8,2,PSME,Photos,2021-10-29
10,1,PIPO,PercentBrown,2021-10-29
10,1,PIED,PercentBrown,2021-10-29
10,1,PIPO,Weight,2021-10-29
10,1,PIED,Weight,2021-10-29
10,1,PIPO,Porometer,2021-10-29
10,1,PIED,Porometer,2021-10-29
10,1,PIPO,Photos,2021-10-29
10,1,PIED,Photos,2021-10-29
5.5,3,PIEN,PercentBrown,2021-11-01
8.5,2,PIFL,PercentBrown,2021-11-01
8.5,2,PSME,PercentBrown,2021-11-01
10.5,1,PIPO,PercentBrown,2021-11-01
10.5,1,PIED,PercentBrown,2021-11-01
6,3,PIEN,Porometer,2021-11-04
9,2,PIFL,Porometer,2021-11-04
9,2,PSME,Porometer,2021-11-04
11,1,PIPO,Porometer,2021-11-04
11,1,PIED,Porometer,2021-11-04
6,3,PIEN,PercentBrown,2021-11-05
6,3,PIEN,Weight,2021-11-05
6,3,PIEN,Photos,2021-11-05
9,2,PIFL,PercentBrown,2021-11-05
9,2,PIFL,Weight,2021-11-05
9,2,PSME,PercentBrown,2021-11-05
9,2,PSME,Weight,2021-11-05
9,2,PIFL,Photos,2021-11-05
9,2,PSME,Photos,2021-11-05
11,1,PIPO,PercentBrown,2021-11-05
11,1,PIED,PercentBrown,2021-11-05
11,1,PIPO,Weight,2021-11-05
11,1,PIED,Weight,2021-11-05
11,1,PIPO,Photos,2021-11-05
11,1,PIED,Photos,2021-11-05
6.5,3,PIEN,PercentBrown,2021-11-08
9.5,2,PIFL,PercentBrown,2021-11-08
9.5,2,PSME,PercentBrown,2021-11-08
11.5,1,PIPO,PercentBrown,2021-11-08
11.5,1,PIED,PercentBrown,2021-11-08
7,3,PIEN,PercentBrown,2021-11-11
7,3,PIEN,Weight,2021-11-11
7,3,PIEN,Photos,2021-11-11
10,2,PIFL,PercentBrown,2021-11-11
10,2,PIFL,Weight,2021-11-11
10,2,PSME,PercentBrown,2021-11-11
10,2,PSME,Weight,2021-11-11
10,2,PIFL,Photos,2021-11-11
10,2,PSME,Photos,2021-11-11
12,1,PIPO,PercentBrown,2021-11-11
12,1,PIED,PercentBrown,2021-11-11
12,1,PIPO,Weight,2021-11-11
12,1,PIED,Weight,2021-11-11
12,1,PIPO,Photos,2021-11-11
12,1,PIED,Photos,2021-11-11
7,3,PIEN,Porometer,2021-11-11
10,2,PIFL,Porometer,2021-11-12
10,2,PSME,Porometer,2021-11-12
12,1,PIPO,Porometer,2021-11-12
12,1,PIED,Porometer,2021-11-12
7.5,3,PIEN,PercentBrown,2021-11-15
10.5,2,PIFL,PercentBrown,2021-11-15
10.5,2,PSME,PercentBrown,2021-11-15
12.5,1,PIPO,PercentBrown,2021-11-15
12.5,1,PIED,PercentBrown,2021-11-15
8,3,PIEN,Porometer,2021-11-18
11,2,PIFL,Porometer,2021-11-18
11,2,PSME,Porometer,2021-11-18
13,1,PIPO,Porometer,2021-11-18
13,1,PIED,Porometer,2021-11-18
8,3,PIEN,PercentBrown,2021-11-19
8,3,PIEN,Weight,2021-11-19
8,3,PIEN,Photos,2021-11-19
11,2,PIFL,PercentBrown,2021-11-19
11,2,PIFL,Weight,2021-11-19
11,2,PSME,PercentBrown,2021-11-19
11,2,PSME,Weight,2021-11-19
11,2,PIFL,Photos,2021-11-19
11,2,PSME,Photos,2021-11-19
13,1,PIPO,PercentBrown,2021-11-19
13,1,PIED,PercentBrown,2021-11-19
13,1,PIPO,Weight,2021-11-19
13,1,PIED,Weight,2021-11-19
13,1,PIPO,Photos,2021-11-19
13,1,PIED,Photos,2021-11-19
8.5,3,PIEN,PercentBrown,2021-11-22
11.5,2,PIFL,PercentBrown,2021-11-22
11.5,2,PSME,PercentBrown,2021-11-22
13.5,1,PIPO,PercentBrown,2021-11-22
13.5,1,PIED,PercentBrown,2021-11-22
9,3,PIEN,PercentBrown,2021-11-26
9,3,PIEN,Weight,2021-11-26
9,3,PIEN,Porometer,2021-11-23
9,3,PIEN,Photos,2021-11-26
12,2,PIFL,PercentBrown,2021-11-26
12,2,PIFL,Weight,2021-11-26
12,2,PIFL,Porometer,2021-11-23
12,2,PSME,PercentBrown,2021-11-26
12,2,PSME,Weight,2021-11-26
12,2,PSME,Porometer,2021-11-23
12,2,PIFL,Photos,2021-11-26
12,2,PSME,Photos,2021-11-26
14,1,PIPO,PercentBrown,2021-11-26
14,1,PIED,PercentBrown,2021-11-26
14,1,PIPO,Weight,2021-11-26
14,1,PIED,Weight,2021-11-26
14,1,PIPO,Porometer,2021-11-26
14,1,PIPO,Porometer,2021-11-23
14,1,PIED,Porometer,2021-11-23
14,1,PIPO,Photos,2021-11-26
14,1,PIED,Photos,2021-11-26
9.5,3,PIEN,PercentBrown,2021-11-29
12.5,2,PIFL,PercentBrown,2021-11-29
12.5,2,PSME,PercentBrown,2021-11-29
14.5,1,PIPO,PercentBrown,2021-11-29
14.5,1,PIED,PercentBrown,2021-11-29
10,3,PIEN,Porometer,2021-12-02
13,2,PIFL,Porometer,2021-12-02
13,2,PSME,Porometer,2021-12-02
15,1,PIPO,Porometer,2021-12-02
15,1,PIED,Porometer,2021-12-02
10,3,PIEN,PercentBrown,2021-12-03
10,3,PIEN,Weight,2021-12-03
10,3,PIEN,Photos,2021-12-03
13,2,PIFL,PercentBrown,2021-12-03
13,2,PIFL,Weight,2021-12-03
13,2,PSME,PercentBrown,2021-12-03
13,2,PSME,Weight,2021-12-03
13,2,PIFL,Photos,2021-12-03
13,2,PSME,Photos,2021-12-03
15,1,PIPO,PercentBrown,2021-12-03
15,1,PIED,PercentBrown,2021-12-03
15,1,PIPO,Weight,2021-12-03
15,1,PIED,Weight,2021-12-03
15,1,PIPO,Photos,2021-12-03
15,1,PIED,Photos,2021-12-03
10.5,3,PIEN,PercentBrown,2021-12-06
13.5,2,PIFL,PercentBrown,2021-12-06
13.5,2,PSME,PercentBrown,2021-12-06
15.5,1,PIPO,PercentBrown,2021-12-06
15.5,1,PIED,PercentBrown,2021-12-06
11,3,PIEN,Porometer,2021-12-09
14,2,PIFL,Porometer,2021-12-09
14,2,PSME,Porometer,2021-12-09
16,1,PIPO,Porometer,2021-12-09
16,1,PIED,Porometer,2021-12-09
11,3,PIEN,PercentBrown,2021-12-10
11,3,PIEN,Weight,2021-12-10
11,3,PIEN,Photos,2021-12-10
14,2,PIFL,PercentBrown,2021-12-10
14,2,PIFL,Weight,2021-12-10
14,2,PSME,PercentBrown,2021-12-10
14,2,PSME,Weight,2021-12-10
14,2,PIFL,Photos,2021-12-10
14,2,PSME,Photos,2021-12-10
16,1,PIPO,PercentBrown,2021-12-10
16,1,PIED,PercentBrown,2021-12-10
16,1,PIPO,Weight,2021-12-10
16,1,PIED,Weight,2021-12-10
16,1,PIPO,Photos,2021-12-10
16,1,PIED,Photos,2021-12-10
11.5,3,PIEN,PercentBrown,2021-12-13
14.5,2,PIFL,PercentBrown,2021-12-13
14.5,2,PSME,PercentBrown,2021-12-13
16.5,1,PIED,PercentBrown,2021-12-13
12,3,PIEN,Porometer,2021-12-16
15,2,PIFL,Porometer,2021-12-16
15,2,PSME,Porometer,2021-12-16
17,1,PIED,Porometer,2021-12-16
12,3,PIEN,PercentBrown,2021-12-17
12,3,PIEN,Weight,2021-12-17
12,3,PIEN,Photos,2021-12-17
15,2,PIFL,PercentBrown,2021-12-17
15,2,PIFL,Weight,2021-12-17
15,2,PSME,PercentBrown,2021-12-17
15,2,PSME,Weight,2021-12-17
15,2,PIFL,Photos,2021-12-17
15,2,PSME,Photos,2021-12-17
17,1,PIED,PercentBrown,2021-12-17
17,1,PIED,Weight,2021-12-17
17,1,PIED,Photos,2021-12-17
12.5,3,PIEN,PercentBrown,2021-12-20
15.5,2,PIFL,PercentBrown,2021-12-20
15.5,2,PSME,PercentBrown,2021-12-20
17.5,1,PIED,PercentBrown,2021-12-20
13,3,PIEN,Porometer,2021-12-23
16,2,PIFL,Porometer,2021-12-23
16,2,PSME,Porometer,2021-12-23
18,1,PIED,Porometer,2021-12-23
13,3,PIEN,PercentBrown,2021-12-24
13,3,PIEN,Weight,2021-12-24
13,3,PIEN,Photos,2021-12-24
16,2,PIFL,PercentBrown,2021-12-24
16,2,PIFL,Weight,2021-12-24
16,2,PSME,PercentBrown,2021-12-24
16,2,PSME,Weight,2021-12-24
16,2,PIFL,Photos,2021-12-24
16,2,PSME,Photos,2021-12-24
18,1,PIED,PercentBrown,2021-12-24
18,1,PIED,Weight,2021-12-24
18,1,PIED,Photos,2021-12-24
13.5,3,PIEN,PercentBrown,2021-12-27
16.5,2,PIFL,PercentBrown,2021-12-27
16.5,2,PSME,PercentBrown,2021-12-27
18.5,1,PIED,PercentBrown,2021-12-27
17,2,PIFL,Photos,2021-12-30
17,2,PSME,Photos,2021-12-30
14,3,PIEN,PercentBrown,2021-12-31
14,3,PIEN,Weight,2021-12-31
14,3,PIEN,Photos,2021-12-30
17,2,PIFL,PercentBrown,2021-12-31
17,2,PIFL,Weight,2021-12-31
17,2,PSME,PercentBrown,2021-12-31
17,2,PSME,Weight,2021-12-31
19,1,PIED,PercentBrown,2021-12-31
19,1,PIED,Weight,2021-12-31
19,1,PIED,Photos,2021-12-30
14.5,3,PIEN,PercentBrown,2022-01-03
17.5,2,PIFL,PercentBrown,2022-01-03
17.5,2,PSME,PercentBrown,2022-01-03
19.5,1,PIED,PercentBrown,2022-01-03
18,2,PIFL,Photos,2022-01-06
18,2,PSME,Photos,2022-01-06
15,3,PIEN,PercentBrown,2022-01-07
15,3,PIEN,Weight,2022-01-07
15,3,PIEN,Photos,2022-01-06
18,2,PIFL,PercentBrown,2022-01-07
18,2,PIFL,Weight,2022-01-07
18,2,PSME,PercentBrown,2022-01-07
18,2,PSME,Weight,2022-01-07
20,1,PIED,PercentBrown,2022-01-07
20,1,PIED,Weight,2022-01-07
20,1,PIED,Photos,2022-01-06
15.5,3,PIEN,PercentBrown,2022-01-10
18.5,2,PIFL,PercentBrown,2022-01-10
18.5,2,PSME,PercentBrown,2022-01-10
20.5,1,PIED,PercentBrown,2022-01-10
16,3,PIEN,Porometer,2022-01-14
19,2,PIFL,Porometer,2022-01-14
19,2,PSME,Porometer,2022-01-14
19,2,PIFL,Photos,2022-01-13
19,2,PSME,Photos,2022-01-13
21,1,PIED,Porometer,2022-01-14
16,3,PIEN,PercentBrown,2022-01-14
16,3,PIEN,Weight,2022-01-14
16,3,PIEN,Photos,2022-01-13
19,2,PIFL,PercentBrown,2022-01-14
19,2,PIFL,Weight,2022-01-14
19,2,PSME,PercentBrown,2022-01-14
19,2,PSME,Weight,2022-01-14
21,1,PIED,PercentBrown,2022-01-14
21,1,PIED,Weight,2022-01-14
21,1,PIED,Photos,2022-01-13
16.5,3,PIEN,PercentBrown,2022-01-17
19.5,2,PIFL,PercentBrown,2022-01-17
19.5,2,PSME,PercentBrown,2022-01-17
21.5,1,PIED,PercentBrown,2022-01-17
17,3,PIEN,Porometer,2022-01-20
20,2,PIFL,Porometer,2022-01-20
20,2,PSME,Porometer,2022-01-20
17,3,PIEN,PercentBrown,2022-01-21
17,3,PIEN,Weight,2022-01-21
17,3,PIEN,Photos,2022-01-21
20,2,PIFL,PercentBrown,2022-01-21
20,2,PIFL,Weight,2022-01-21
20,2,PSME,PercentBrown,2022-01-21
20,2,PSME,Weight,2022-01-21
20,2,PIFL,Photos,2022-01-21
20,2,PSME,Photos,2022-01-21
22,1,PIED,PercentBrown,2022-01-21
22,1,PIED,Weight,2022-01-21
22,1,PIED,Photos,2022-01-21
17.5,3,PIEN,PercentBrown,2022-01-25
20.5,2,PIFL,PercentBrown,2022-01-25
20.5,2,PSME,PercentBrown,2022-01-25
22.5,1,PIED,PercentBrown,2022-01-25
18,3,PIEN,Porometer,2022-01-27
21,2,PIFL,Porometer,2022-01-27
21,2,PSME,Porometer,2022-01-27
18,3,PIEN,PercentBrown,2022-01-28
18,3,PIEN,Weight,2022-01-28
18,3,PIEN,Photos,2022-01-28
21,2,PIFL,PercentBrown,2022-01-28
21,2,PIFL,Weight,2022-01-28
21,2,PSME,PercentBrown,2022-01-28
21,2,PSME,Weight,2022-01-28
21,2,PIFL,Photos,2022-01-28
21,2,PSME,Photos,2022-01-28
18.5,3,PIEN,PercentBrown,2022-02-01
21.5,2,PIFL,PercentBrown,2022-02-01
21.5,2,PSME,PercentBrown,2022-02-01
19,3,PIEN,Porometer,2022-02-03
22,2,PIFL,Porometer,2022-02-03
22,2,PSME,Porometer,2022-02-03
19,3,PIEN,PercentBrown,2022-02-04
19,3,PIEN,Weight,2022-02-04
19,3,PIEN,Photos,2022-02-04
22,2,PIFL,Weight,2022-02-04
22,2,PSME,Weight,2022-02-04
22,2,PSME,PercentBrown,2022-02-04
22,2,PIFL,PercentBrown,2022-02-04
22,2,PIFL,Photos,2022-02-04
22,2,PSME,Photos,2022-02-04
19.5,3,PIEN,PercentBrown,2022-02-08
22.5,2,PSME,PercentBrown,2022-02-08
22.5,2,PIFL,PercentBrown,2022-02-08
20,3,PIEN,Porometer,2022-02-10
23,2,PSME,Porometer,2022-02-10
23,2,PIFL,Porometer,2022-02-10
20,3,PIEN,PercentBrown,2022-02-11
20,3,PIEN,Weight,2022-02-11
20,3,PIEN,Photos,2022-02-11
23,2,PSME,PercentBrown,2022-02-11
23,2,PIFL,PercentBrown,2022-02-11
23,2,PSME,Weight,2022-02-11
23,2,PIFL,Weight,2022-02-11
23,2,PSME,Photos,2022-02-11
23,2,PIFL,Photos,2022-02-11
20.5,3,PIEN,PercentBrown,2022-02-15
23.5,2,PSME,PercentBrown,2022-02-15
23.5,2,PIFL,PercentBrown,2022-02-15
21,3,PIEN,Porometer,2022-02-17
24,2,PSME,Porometer,2022-02-17
24,2,PIFL,Porometer,2022-02-17
21,3,PIEN,PercentBrown,2022-02-18
21,3,PIEN,Weight,2022-02-18
21,3,PIEN,Photos,2022-02-18
24,2,PSME,PercentBrown,2022-02-18
24,2,PIFL,PercentBrown,2022-02-18
24,2,PSME,Weight,2022-02-18
24,2,PIFL,Weight,2022-02-18
24,2,PSME,Photos,2022-02-18
24,2,PIFL,Photos,2022-02-18
21.5,3,PIEN,PercentBrown,2022-02-22
24.5,2,PIFL,PercentBrown,2022-02-22
22,3,PIEN,PercentBrown,2022-02-24
22,3,PIEN,Weight,2022-02-24
22,3,PIEN,Porometer,2022-02-24
22,3,PIEN,Photos,2022-02-24
25,2,PIFL,PercentBrown,2022-02-24
25,2,PIFL,Weight,2022-02-24
25,2,PIFL,Porometer,2022-02-24
25,2,PIFL,Photos,2022-02-24
22.5,3,PIEN,PercentBrown,2022-03-01
25.5,2,PIFL,PercentBrown,2022-03-01
23,3,PIEN,PercentBrown,2022-03-03
23,3,PIEN,Weight,2022-03-03
23,3,PIEN,Porometer,2022-03-03
23,3,PIEN,Photos,2022-03-03
26,2,PIFL,PercentBrown,2022-03-03
26,2,PIFL,Weight,2022-03-03
26,2,PIFL,Porometer,2022-03-03
26,2,PIFL,Photos,2022-03-03
23.5,3,PIEN,PercentBrown,2022-03-07
26.5,2,PIFL,PercentBrown,2022-03-07
24,3,PIEN,PercentBrown,2022-03-11
24,3,PIEN,Weight,2022-03-11
24,3,PIEN,Photos,2022-03-11
27,2,PIFL,PercentBrown,2022-03-11
27,2,PIFL,Weight,2022-03-11
27,2,PIFL,Porometer,2022-03-11
27,2,PIFL,Photos,2022-03-11
27.5,2,PIFL,PercentBrown,2022-03-15
28,2,PIFL,PercentBrown,2022-03-18
28,2,PIFL,Weight,2022-03-18
28,2,PIFL,Porometer,2022-03-18
28,2,PIFL,Photos,2022-03-18
28.5,2,PIFL,PercentBrown,2022-03-22
29,2,PIFL,PercentBrown,2022-03-24
29,2,PIFL,Weight,2022-03-24
29,2,PIFL,Porometer,2022-03-24
29,2,PIFL,Photos,2022-03-24
29.5,2,PIFL,PercentBrown,2022-03-29
30,2,PIFL,PercentBrown,2022-03-31
30,2,PIFL,Weight,2022-03-31
30,2,PIFL,Porometer,2022-03-31
30,2,PIFL,Photos,2022-03-31
30.5,2,PIFL,PercentBrown,2022-04-05
31,2,PIFL,PercentBrown,2022-04-07
31,2,PIFL,Weight,2022-04-07
31,2,PIFL,Porometer,2022-04-07
31,2,PIFL,Photos,2022-04-07
31.5,2,PIFL,PercentBrown,2022-04-12
32,2,PIFL,PercentBrown,2022-04-15
32,2,PIFL,Weight,2022-04-15
32,2,PIFL,Porometer,2022-04-15
32,2,PIFL,Photos,2022-04-15
32.5,2,PIFL,PercentBrown,2022-04-19
33,2,PIFL,PercentBrown,2022-04-21
33,2,PIFL,Weight,2022-04-21
33,2,PIFL,Porometer,2022-04-21
33,2,PIFL,Photos,2022-04-21
33.5,2,PIFL,PercentBrown,2022-04-26
34,2,PIFL,PercentBrown,2022-04-29
34,2,PIFL,Weight,2022-04-29
34,2,PIFL,Porometer,2022-04-29
34,2,PIFL,Photos,2022-04-29
34.5,2,PIFL,PercentBrown,2022-05-03
35,2,PIFL,PercentBrown,2022-05-06
35,2,PIFL,Weight,2022-05-06
35,2,PIFL,Porometer,2022-05-06
35,2,PIFL,Photos,2022-05-06
35.5,2,PIFL,PercentBrown,2022-05-09
36,2,PIFL,PercentBrown,2022-05-12
36,2,PIFL,Weight,2022-05-12
36,2,PIFL,Porometer,2022-05-12
36,2,PIFL,Photos,2022-05-12
